"year","quarter","quarter_total","quarter_mean","quarter_median","quarter_over_year_gross","quarter_st_dev","num_of_movies","standard_error","confidence_low_95","confidence_high_95","quarter_performance","quarter_over_year_sd"
"1980","4",759090245,24486782.0967742,15198912,0.333858446215183,27275103.8258652,31,4898753.26045617,16429050.0287725,32544514.1647759,0.316971123023708,0.0273595160024682
"1981","4",549354121,22889755.0416667,16665468.5,0.241880140308767,24639620.6360325,24,5029541.5011692,14616895.4615656,31162614.6217678,0.316971123023708,0.0273595160024682
"1982","4",808980145,28892148.0357143,17047339,0.286583370989949,34528483.9319484,28,6525270.11657322,18159033.8176308,39625262.2537978,0.316971123023708,0.0273595160024682
"1983","4",698066904,23268896.8,16694971,0.275805750583741,22305094.5634072,30,4072334.47988799,16570502.6605967,29967290.9394033,0.316971123023708,0.0273595160024682
"1984","4",849812255,27413298.5483871,22812411,0.268546988944824,39828040.073081,31,7153327.1664602,15647122.4138645,39179474.6829097,0.316971123023708,0.0273595160024682
"1985","4",904179169,30139305.6333333,15587171.5,0.317007588561331,29982284.5399612,30,5473991.18935838,21135391.3716168,39143219.8950499,0.316971123023708,0.0273595160024682
"1986","4",925614968,34282035.8518519,27820000,0.30997263330503,31021698.1135365,27,5970128.5855232,24462048.1945874,44102023.5091163,0.316971123023708,0.0273595160024682
"1987","4",1067745905,35591530.1666667,26712831.5,0.321898333172986,35538353.7279612,30,6488385.99780073,24919084.925123,46263975.4082103,0.316971123023708,0.0273595160024682
"1988","4",1100346010,37942965.862069,32078318,0.336677017141244,35592393.8906878,29,6609341.62006211,27071566.3265485,48814365.3975894,0.316971123023708,0.0273595160024682
"1989","4",1272608631,41051891.3225806,20047604,0.324408985103236,36836209.4613185,31,6615978.52582166,30169575.0485498,51934207.5966114,0.316971123023708,0.0273595160024682
"1990","4",1456504366,45515761.4375,27686719,0.346641281751489,54962655.8246912,32,9716116.66141535,29534171.7070873,61497351.1679127,0.316971123023708,0.0273595160024682
