"year","quarter","quarter_total","quarter_mean","quarter_median","quarter_over_year_gross","quarter_st_dev","num_of_movies","standard_error","confidence_low_95","confidence_high_95","quarter_performance","quarter_over_year_sd"
"1980","1",290192717,14509635.85,8875000,0.127630792568784,15271784.4970203,20,3414874.82730647,8892666.60471967,20126605.0952803,0.154192942132363,0.0312756382123211
"1981","1",182306709,10128150.5,7418491,0.080269484957863,7579931.19561352,18,1786606.91644859,7189443.63354295,13066857.3664571,0.154192942132363,0.0312756382123211
"1982","1",369147213,16779418.7727273,11146794.5,0.13077138338554,21321453.811221,22,4545749.22629539,9302326.67064346,24256510.8748111,0.154192942132363,0.0312756382123211
"1983","1",262160476,13108023.8,10989720,0.103579422605846,6859063.45187838,20,1533733.21403844,10585257.1601129,15630790.4398871,0.154192942132363,0.0312756382123211
"1984","1",549133724,32301983.7647059,19928200,0.173530338307793,26821226.2033154,17,6505102.86146198,21602041.7293377,43001925.800074,0.154192942132363,0.0312756382123211
"1985","1",483354613,23016886.3333333,17130087,0.16946539528951,17121429.0254195,21,3736202.11975232,16871380.7256349,29162391.9410317,0.154192942132363,0.0312756382123211
"1986","1",492127495,20505312.2916667,16608642,0.164805087234672,15082245.6477267,24,3078650.50102023,15441382.8489476,25569241.7343858,0.154192942132363,0.0312756382123211
"1987","1",461743551,25652419.5,19397225,0.139203979827275,16436954.3759615,18,3874227.30043208,19279882.6732499,32024956.3267501,0.154192942132363,0.0312756382123211
"1988","1",452661900,18860912.5,15200836,0.138502668142985,13899281.9956835,24,2837179.05670648,14194168.2382656,23527656.7617344,0.154192942132363,0.0312756382123211
"1989","1",409369548,18607706.7272727,15991602,0.104355067507672,11329255.6905824,22,2415405.42900804,14634718.3468106,22580695.1077349,0.154192942132363,0.0312756382123211
"1990","1",711129344,44445584,20638449.5,0.169245484634033,52150269.3256971,16,13037567.3314243,23000694.0882828,65890473.9117172,0.154192942132363,0.0312756382123211
"1991","1",712272263,32376011.9545455,20725861.5,0.17747614350046,31689175.9922853,22,6756155.02227425,21263125.8619113,43488898.0471796,0.154192942132363,0.0312756382123211
"1992","1",795795267,37895012.7142857,25105517,0.183426308444053,34247140.5050793,21,7473338.747634,25602464.369803,50187561.0587685,0.154192942132363,0.0312756382123211
"1993","1",530737077,27933530.3684211,21665468,0.118105596485518,15575623.3950373,19,3573293.07166396,22055986.299334,33811074.4375081,0.154192942132363,0.0312756382123211
"1994","1",659504134,27479338.9166667,21008839.5,0.143067509752685,14899294.7620504,24,3041305.80786213,22476836.0279361,32481841.8053973,0.154192942132363,0.0312756382123211
"1995","1",518505429,28805857.1666667,24975300.5,0.108160815686937,13377138.754811,18,3153021.84213342,23619597.7537763,33992116.579557,0.154192942132363,0.0312756382123211
"1996","1",726898513,36344925.65,28617191,0.14407624412781,24771179.8137933,20,5539004.19465125,27234074.5107285,45455776.7892715,0.154192942132363,0.0312756382123211
"1997","1",1002913754,50145687.7,38815579.5,0.164037113943838,41081147.6854463,20,9186023.88183662,35036023.0006982,65255352.3993018,0.154192942132363,0.0312756382123211
"1998","1",593743383,37108961.4375,28876805,0.101123216792738,21921010.5102813,16,5480252.62757033,28094748.0264306,46123174.8485694,0.154192942132363,0.0312756382123211
"1999","1",959872573,45708217.7619048,36663315,0.144730177183452,36823783.0059959,21,8035608.23807641,32490818.4067436,58925617.1170659,0.154192942132363,0.0312756382123211
"2000","1",1043246995,49678428.3333333,50863742,0.150086251022486,24190519.384557,21,5278804.1038109,40995568.2572137,58361288.409453,0.154192942132363,0.0312756382123211
"2001","1",954113964,53006331.3333333,38521374,0.12999466094631,37587156.9977777,18,8859377.86621734,38433951.5175522,67578711.1491145,0.154192942132363,0.0312756382123211
"2002","1",1365527535,54621101.4,41076018,0.16849244570376,32240111.5143549,25,6448022.30287098,44015048.5284587,65227154.2715413,0.154192942132363,0.0312756382123211
"2003","1",1139789165,54275674.5238095,46961214,0.140570294632201,28339971.7593399,21,6184288.84667076,44103424.5842476,64447924.4633715,0.154192942132363,0.0312756382123211
"2004","1",1364183425,71799127.631579,57938693,0.163887121195282,76967367.3491212,19,17657525.0644838,42755083.4862763,100843171.776882,0.154192942132363,0.0312756382123211
"2005","1",1286380584,67704241.2631579,56046979,0.167115324214843,37375276.0056255,19,8574476.37344538,53600482.7010866,81807999.8252292,0.154192942132363,0.0312756382123211
"2006","1",1455698024,63291218.4347826,54098051,0.18453509052605,33147254.5159226,23,6911680.35298833,51922515.9378405,74659920.9317247,0.154192942132363,0.0312756382123211
"2007","1",1500711954,68214179.7272727,47428093,0.176354078095533,48542434.5789623,22,10349281.8258801,51191125.9796309,85237233.4749146,0.154192942132363,0.0312756382123211
"2008","1",1308707109,59486686.7727273,51814104,0.154158080145842,29593010.3037806,22,6309250.99588498,49108892.3887987,69864481.1566559,0.154192942132363,0.0312756382123211
"2009","1",1754434219,70177368.76,58715510,0.177867719375088,41841839.6306317,25,8368367.92612633,56412628.4250467,83942109.0949533,0.154192942132363,0.0312756382123211
"2010","1",1797024696,78131508.5217391,60022256,0.192854981570312,69986886.6953713,23,14593274.6709642,54127707.7501046,102135309.293374,0.154192942132363,0.0312756382123211
"2011","1",1336988443,63666116.3333333,58009200,0.147608122013761,26135413.3758841,21,5703214.76733097,54285162.8380058,73047069.8286609,0.154192942132363,0.0312756382123211
"2012","1",2128206882,88675286.75,63448107,0.212081253041158,79401737.5594662,24,16207811.8092562,62015808.7105981,115334764.789402,0.154192942132363,0.0312756382123211
"2013","1",1584292148,75442483.2380952,57012977,0.15748920078633,53799162.6992147,21,11739939.7806855,56132000.7096428,94752965.7665477,0.154192942132363,0.0312756382123211
"2014","1",1618954371,80947718.55,60227898,0.168904905710946,54024921.1299516,20,12080339.6125637,61077328.1234691,100818108.976531,0.154192942132363,0.0312756382123211
"2015","1",1689068638,76775847.1818182,50625343,0.16364793973869,57983554.9478174,22,12362135.4517196,56441943.8471919,97109750.5164445,0.154192942132363,0.0312756382123211
"2016","1",2004498972,91113589.6363636,49848366,0.193075982859198,106800099.379547,22,22769857.6945697,53660506.6222818,128566672.650445,0.154192942132363,0.0312756382123211
"2017","1",2311466284,105066649.272727,60947519,0.225046119072556,109174047.971946,22,23275985.2350607,66781060.5379688,143352238.007486,0.154192942132363,0.0312756382123211
