"year","quarter","quarter_total","quarter_mean","quarter_median","quarter_over_year_gross","quarter_st_dev","num_of_movies","standard_error","confidence_low_95","confidence_high_95","quarter_performance","quarter_over_year_sd"
"1980","3",417241206,18965509.3636364,13255778.5,0.183508484860201,16881329.7914982,22,3599111.60458271,13045497.5870354,24885521.1402374,0.236105422089755,0.0313623168870503
"1981","3",625156771,20166347.4516129,14923752,0.275255980985816,18983885.3131848,31,3409606.45531622,14558043.9071089,25774650.9961169,0.236105422089755,0.0313623168870503
"1982","3",592795356,22799821.3846154,16187026.5,0.209999333703878,25906893.4971941,26,5080759.82610626,14442715.1569752,31156927.6122556,0.236105422089755,0.0313623168870503
"1983","3",622934942,23959036.2307692,13608783.5,0.246121164402243,21061772.5675795,26,4130553.43511312,17164880.4317065,30753192.0298319,0.236105422089755,0.0313623168870503
"1984","3",584398884,24349953.5,20990077.5,0.184674390981707,16279552.7022847,24,3323049.78011205,18884023.0166424,29815883.9833576,0.236105422089755,0.0313623168870503
"1985","3",783693383,27989049.3928571,19291603,0.274764955922471,37457340.1566113,28,7078771.91631049,16345505.7319516,39632593.0537627,0.236105422089755,0.0313623168870503
"1986","3",693506994,24768106.9285714,13424948.5,0.232243639717844,34196639.9626237,28,6462557.50107968,14138145.7835381,35398068.0736048,0.236105422089755,0.0313623168870503
"1987","3",958490528,31949684.2666667,23328411.5,0.288960605590237,28960189.6577402,30,5287383.04839071,23252713.0824395,40646655.4508938,0.236105422089755,0.0313623168870503
"1988","3",693545432,28897726.3333333,21558422.5,0.212206710594329,21496617.8595132,24,4387978.74595061,21680143.5780705,36115309.0885962,0.236105422089755,0.0313623168870503
"1989","3",885597686,42171318.3809524,29445131,0.225753495243295,36529192.0266918,21,7971323.21609011,29059658.4773641,55282978.2845407,0.236105422089755,0.0313623168870503
"1990","3",1156572144,38552404.8,24330286.5,0.275258804431368,41433887.3288055,30,7564758.24503809,26109484.763638,50995324.8363619,0.236105422089755,0.0313623168870503
"1991","3",946559097,41154743.3478261,34872033,0.235853151747449,39227955.0014415,23,8179594.05178287,27700508.4047603,54608978.2908918,0.236105422089755,0.0313623168870503
"1992","3",963014882,33207409.7241379,20006730,0.221969483995367,27532704.9900841,29,5112694.96406267,24797774.8690029,41617044.5792729,0.236105422089755,0.0313623168870503
"1993","3",1203630549,42986805.3214286,31718393.5,0.267845436277739,41847110.1170215,28,7908360.46116957,29978709.9336342,55994900.709223,0.236105422089755,0.0313623168870503
"1994","3",1408826950,56353078,30806194,0.305619560239133,67578875.4538115,25,13515775.0907623,34121606.3208993,78584549.6791007,0.236105422089755,0.0313623168870503
"1995","3",1139438384,43824553.2307692,37037314,0.237688128504524,24632006.1235583,26,4830733.84165233,35878703.1504902,51770403.3110483,0.236105422089755,0.0313623168870503
"1996","3",1266733594,43680468.7586207,22231658,0.251075239899468,57522811.9003742,29,10681718.0087349,26110606.1498802,61250331.3673612,0.236105422089755,0.0313623168870503
"1997","3",1508408822,55866993.4074074,43700855,0.246716159611373,51634028.8184986,27,9936973.47923501,39522126.5391671,72211860.2756477,0.236105422089755,0.0313623168870503
"1998","3",1718100158,66080775.3076923,43081971.5,0.29261768589524,58648226.5534337,26,11501863.524368,47161893.3729347,84999657.2424499,0.236105422089755,0.0313623168870503
