"year","movies_name","total_gross","opening_week","opening_date"
"2002","Beauty and the Beast (IMAX)","25,487,190 ","2,589,334 ","01-01"
"2002","Orange County","41,076,018 ","15,053,226 ","01-11"
"2002","Snow Dogs","81,172,560 ","17,814,259 ","01-18"
"2002","The Count of Monte Cristo","54,234,062 ","11,376,150 ","01-25"
"2002","A Walk to Remember","41,281,092 ","12,177,488 ","01-25"
"2002","The Mothman Prophecies","35,746,370 ","11,208,851 ","01-25"
"2002","Big Fat Liar","48,360,547 ","11,554,015 ","02-08"
"2002","Collateral Damage","40,077,257 ","15,058,432 ","02-08"
"2002","John Q.","71,756,802 ","20,275,194 ","02-15"
"2002","Return to Never Land","48,430,258 ","11,889,631 ","02-15"
"2002","Crossroads","37,191,304 ","14,527,187 ","02-15"
"2002","Queen of the Damned","30,336,800 ","14,757,535 ","02-22"
"2002","Dragonfly","30,323,400 ","10,216,025 ","02-22"
"2002","We Were Soldiers","78,122,718 ","20,212,543 ","03-01"
"2002","40 Days and 40 Nights","37,950,822 ","12,229,529 ","03-01"
"2002","The Time Machine","56,832,494 ","22,610,437 ","03-08"
"2002","All About the Benjamins","25,916,319 ","10,007,291 ","03-08"
"2002","Ice Age","176,387,405 ","46,312,454 ","03-15"
"2002","Resident Evil","40,119,709 ","17,707,106 ","03-15"
"2002","Showtime","38,082,712 ","15,011,430 ","03-15"
"2002","Blade II","82,348,319 ","32,528,016 ","03-22"
"2002","E.T. (20th Anniversary)","35,306,015 ","14,223,110 ","03-22"
"2002","Panic Room","96,397,334 ","30,056,751 ","03-29"
"2002","The Rookie","75,600,072 ","16,021,684 ","03-29"
"2002","Clockstoppers","36,989,956 ","10,108,333 ","03-29"
"2002","High Crimes","41,543,917 ","14,005,550 ","04-05"
"2002","Changing Lanes","66,818,548 ","17,128,062 ","04-12"
"2002","The Sweetest Thing","24,718,164 ","9,430,667 ","04-12"
"2002","My Big Fat Greek Wedding","241,438,208 ","597,362 ","04-19"
"2002","Space Station 3-D (IMAX)","93,344,168 ","489,488 ","04-19"
"2002","The Scorpion King","91,047,077 ","36,075,875 ","04-19"
"2002","Murder by Numbers","31,945,749 ","9,307,394 ","04-19"
"2002","Spider-Man","403,706,375 ","114,844,116 ","05-03"
"2002","Unfaithful","52,775,765 ","14,065,277 ","05-08"
"2002","The New Guy","29,760,152 ","9,007,833 ","05-10"
"2002","Star Wars: Episode II - Attack of the Clones","302,191,252 ","80,027,814 ","05-16"
"2002","About a Boy","41,385,278 ","8,557,630 ","05-17"
"2002","Spirit: Stallion of the Cimarron","73,280,117 ","17,770,036 ","05-24"
"2002","Insomnia","67,355,513 ","20,930,169 ","05-24"
"2002","Enough","40,007,742 ","14,009,653 ","05-24"
"2002","The Sum of All Fears","118,907,036 ","31,178,526 ","05-31"
"2002","Undercover Brother","39,089,928 ","12,037,685 ","05-31"
"2002","Divine Secrets of the Ya-Ya Sisterhood","69,599,016 ","16,167,412 ","06-07"
"2002","Bad Company","30,160,161 ","11,007,367 ","06-07"
"2002","Scooby-Doo","153,294,164 ","54,155,312 ","06-14"
"2002","The Bourne Identity","121,661,683 ","27,118,640 ","06-14"
"2002","Windtalkers","40,914,068 ","14,520,412 ","06-14"
"2002","Lilo & Stitch","145,794,338 ","35,260,212 ","06-21"
"2002","Minority Report","132,072,926 ","35,677,125 ","06-21"
"2002","Mr. Deeds","126,293,452 ","37,162,787 ","06-28"
"2002","Men in Black II","190,418,803 ","52,148,751 ","07-03"
"2002","Like Mike","51,432,760 ","12,179,420 ","07-03"
"2002","Road to Perdition","104,454,762 ","22,079,481 ","07-12"
"2002","Reign of Fire","43,061,982 ","15,632,281 ","07-12"
"2002","Halloween: Resurrection","30,354,442 ","12,292,121 ","07-12"
"2002","The Crocodile Hunter: Collision Course","28,442,574 ","9,537,123 ","07-12"
"2002","Stuart Little 2","64,956,806 ","15,115,152 ","07-19"
"2002","K-19: The Widowmaker","35,168,966 ","12,778,459 ","07-19"
"2002","Austin Powers in Goldmember","213,307,889 ","73,071,188 ","07-26"
"2002","Signs","227,966,634 ","60,117,080 ","08-02"
"2002","The Master of Disguise","40,388,794 ","12,554,650 ","08-02"
"2002","Spy Kids 2: The Island of Lost Dreams","85,846,429 ","16,711,716 ","08-07"
"2002","XXX","142,109,382 ","44,506,103 ","08-09"
"2002","Blood Work","26,235,081 ","7,312,413 ","08-09"
"2002","Blue Crush","40,390,647 ","14,169,455 ","08-16"
"2002","One Hour Photo","31,597,131 ","321,515 ","08-21"
"2002","SwimFan","28,564,995 ","11,326,601 ","09-06"
"2002","Barbershop","75,782,105 ","20,627,433 ","09-13"
"2002","The Banger Sisters","30,307,416 ","10,037,846 ","09-20"
"2002","Sweet Home Alabama","127,223,418 ","35,648,740 ","09-27"
"2002","The Tuxedo","50,547,998 ","15,051,028 ","09-27"
"2002","Red Dragon","93,149,898 ","36,540,945 ","10-04"
"2002","Jonah: A VeggieTales Movie","25,581,229 ","6,201,345 ","10-04"
"2002","Brown Sugar","27,363,891 ","10,738,882 ","10-11"
"2002","The Transporter","25,296,447 ","9,107,816 ","10-11"
"2002","The Ring","129,128,133 ","15,015,393 ","10-18"
"2002","Jackass: The Movie","64,255,312 ","22,763,437 ","10-25"
"2002","Ghost Ship","30,113,491 ","11,503,423 ","10-25"
"2002","Frida","25,885,000 ","205,996 ","10-25"
"2002","The Santa Clause 2","139,236,327 ","29,008,696 ","11-01"
"2002","I Spy","33,561,137 ","12,752,803 ","11-01"
"2002","8 Mile","116,750,901 ","51,240,555 ","11-08"
"2002","Harry Potter and the Chamber of Secrets","261,988,482 ","88,357,488 ","11-15"
"2002","Die Another Day","160,942,139 ","47,072,040 ","11-22"
"2002","Friday After Next","33,253,609 ","13,010,767 ","11-22"
"2002","Treasure Planet","38,176,783 ","12,083,248 ","11-27"
"2002","Analyze That","32,130,627 ","11,034,422 ","12-06"
"2002","Maid in Manhattan","94,011,225 ","18,711,407 ","12-13"
"2002","About Schmidt","65,016,287 ","282,367 ","12-13"
"2002","Drumline","56,399,184 ","12,604,705 ","12-13"
"2002","Star Trek: Nemesis","43,254,409 ","18,513,305 ","12-13"
"2002","The Hot Chick","35,081,594 ","7,401,146 ","12-13"
"2002","The Lord of the Rings: The Two Towers","339,789,881 ","62,007,528 ","12-18"
"2002","Two Weeks Notice","93,354,851 ","14,328,494 ","12-20"
"2002","Gangs of New York","77,812,000 ","9,496,870 ","12-20"
"2002","The Wild Thornberrys","40,108,697 ","6,013,847 ","12-20"
"2002","Catch Me If You Can","164,615,351 ","30,053,627 ","12-25"
"2002","The Pianist","32,572,577 ","111,261 ","12-25"
"2002","Chicago","170,687,518 ","2,074,929 ","12-27"
"2002","The Hours","41,675,994 ","338,622 ","12-27"
