"year","movies_name","total_gross","opening_week","opening_date"
"2010","Daybreakers","30,101,577 ","15,146,692 ","01-08"
"2010","The Book of Eli","94,835,059 ","32,789,494 ","01-15"
"2010","Tooth Fairy","60,022,256 ","14,010,409 ","01-22"
"2010","Legion (2010)","40,168,080 ","17,501,625 ","01-22"
"2010","Edge of Darkness","43,313,890 ","17,214,384 ","01-29"
"2010","When in Rome","32,680,633 ","12,350,041 ","01-29"
"2010","Dear John","80,014,842 ","30,468,614 ","02-05"
"2010","Valentine's Day","110,485,654 ","56,260,707 ","02-12"
"2010","Percy Jackson & The Olympians: The Lightning Thief","88,768,303 ","31,236,067 ","02-12"
"2010","The Wolfman","61,979,680 ","31,479,235 ","02-12"
"2010","Shutter Island","128,012,934 ","41,062,440 ","02-19"
"2010","Cop Out","44,875,481 ","18,211,126 ","02-26"
"2010","The Crazies","39,123,589 ","16,067,552 ","02-26"
"2010","Alice in Wonderland (2010)","334,191,110 ","116,101,023 ","03-05"
"2010","Brooklyn's Finest","27,163,593 ","13,350,299 ","03-05"
"2010","Green Zone","35,053,660 ","14,309,295 ","03-12"
"2010","She's Out of My League","32,010,860 ","9,775,278 ","03-12"
"2010","The Bounty Hunter","67,061,228 ","20,686,423 ","03-19"
"2010","Diary of a Wimpy Kid","64,003,625 ","22,126,166 ","03-19"
"2010","Hubble 3D","52,339,471 ","413,477 ","03-19"
"2010","How to Train Your Dragon","217,581,231 ","43,732,319 ","03-26"
"2010","Hot Tub Time Machine","50,287,556 ","14,020,502 ","03-26"
"2010","The Last Song","62,950,384 ","16,007,426 ","03-31"
"2010","Clash of the Titans (2010)","163,214,888 ","61,235,105 ","04-02"
"2010","Tyler Perry's Why Did I Get Married Too?","60,095,852 ","29,289,537 ","04-02"
"2010","Date Night","98,711,404 ","25,207,599 ","04-09"
"2010","Kick-Ass","48,071,303 ","19,828,687 ","04-16"
"2010","Death at a Funeral (2010)","42,739,347 ","16,217,540 ","04-16"
"2010","The Back-Up Plan","37,490,007 ","12,201,710 ","04-23"
"2010","A Nightmare on Elm Street (2010)","63,075,011 ","32,902,299 ","04-30"
"2010","Iron Man 2","312,433,331 ","128,122,480 ","05-07"
"2010","Robin Hood","105,269,730 ","36,063,385 ","05-14"
"2010","Letters to Juliet","53,032,453 ","13,540,486 ","05-14"
"2010","Shrek Forever After","238,736,787 ","70,838,207 ","05-21"
"2010","Sex and the City 2","95,347,692 ","31,001,870 ","05-27"
"2010","Prince of Persia: The Sands of Time","90,759,676 ","30,095,259 ","05-28"
"2010","Get Him to the Greek","60,974,475 ","17,570,955 ","06-04"
"2010","Killers","47,059,963 ","15,837,266 ","06-04"
"2010","Marmaduke","33,644,788 ","11,599,661 ","06-04"
"2010","The Karate Kid","176,591,618 ","55,665,805 ","06-11"
"2010","The A-Team","77,222,099 ","25,669,455 ","06-11"
"2010","Toy Story 3","415,004,880 ","110,307,189 ","06-18"
"2010","Knight & Day","76,423,035 ","20,139,985 ","06-23"
"2010","Grown Ups","162,001,186 ","40,506,562 ","06-25"
"2010","The Twilight Saga: Eclipse","300,531,751 ","64,832,191 ","06-30"
"2010","The Last Airbender","131,772,187 ","40,325,019 ","07-01"
"2010","Despicable Me","251,513,985 ","56,397,125 ","07-09"
"2010","Predators","52,000,688 ","24,760,882 ","07-09"
"2010","The Sorcerer's Apprentice","63,150,991 ","17,619,622 ","07-14"
"2010","Inception","292,576,195 ","62,785,337 ","07-16"
"2010","Salt","118,311,368 ","36,011,243 ","07-23"
"2010","Dinner for Schmucks","73,026,337 ","23,527,839 ","07-30"
"2010","Cats & Dogs: The Revenge of Kitty Galore","43,585,753 ","12,279,363 ","07-30"
"2010","Charlie St. Cloud","31,162,545 ","12,381,585 ","07-30"
"2010","The Other Guys","119,219,978 ","35,543,162 ","08-06"
"2010","Step Up 3-D","42,400,223 ","15,812,311 ","08-06"
"2010","The Expendables","103,068,524 ","34,825,135 ","08-13"
"2010","Eat Pray Love","80,574,010 ","23,104,523 ","08-13"
"2010","Scott Pilgrim vs. the World","31,524,275 ","10,609,795 ","08-13"
"2010","Vampires Suck","36,661,504 ","12,202,831 ","08-18"
"2010","Nanny McPhee Returns","29,011,215 ","8,407,685 ","08-20"
"2010","The Switch","27,779,426 ","8,436,713 ","08-20"
"2010","Takers","57,744,720 ","20,512,304 ","08-27"
"2010","The Last Exorcism","41,034,350 ","20,366,613 ","08-27"
"2010","The American","35,606,376 ","13,177,790 ","09-01"
"2010","Machete","26,593,646 ","11,416,164 ","09-03"
"2010","Resident Evil: Afterlife","60,128,566 ","26,650,264 ","09-10"
"2010","The Town","92,186,262 ","23,808,032 ","09-17"
"2010","Easy A","58,401,464 ","17,734,040 ","09-17"
"2010","Devil","33,601,190 ","12,289,375 ","09-17"
"2010","Legend of the Guardians: The Owls of Ga'Hoole","55,675,313 ","16,112,211 ","09-24"
"2010","Wall Street: Money Never Sleeps","52,474,616 ","19,011,188 ","09-24"
"2010","The Social Network","96,962,694 ","22,445,653 ","10-01"
"2010","Secretariat","59,713,955 ","12,694,770 ","10-08"
"2010","Life as We Know It","53,374,681 ","14,506,464 ","10-08"
