"year","movies_name","total_gross","opening_week","opening_date"
"1988","For Keeps","17,514,553 ","4,839,790 ","01-15"
"1988","The Couch Trip","11,005,304 ","3,351,891 ","01-15"
"1988","Return of the Living Dead 2","9,205,924 ","3,647,254 ","01-15"
"1988","The Serpent and the Rainbow","19,595,031 ","5,848,700 ","02-05"
"1988","She's Having a Baby","16,031,707 ","3,827,520 ","02-05"
"1988","The Unbearable Lightness of Being","10,006,806 ","202,189 ","02-05"
"1988","Shoot to Kill","29,300,090 ","5,781,628 ","02-12"
"1988","Action Jackson","20,256,975 ","5,424,783 ","02-12"
"1988","School Daze","14,545,844 ","1,802,656 ","02-12"
"1988","Satisfaction","8,253,123 ","2,779,275 ","02-12"
"1988","Frantic","17,637,950 ","4,359,424 ","02-26"
"1988","Bloodsport","11,806,119 ","515,721 ","02-26"
"1988","Moving","10,815,378 ","4,022,782 ","03-04"
"1988","Switching Channels","9,129,999 ","3,121,752 ","03-04"
"1988","Masquerade","15,855,828 ","3,500,259 ","03-11"
"1988","Stand and Deliver","13,994,920 ","411,884 ","03-11"
"1988","Vice Versa","13,664,060 ","4,050,779 ","03-11"
"1988","Police Academy 5: Assignment: Miami Beach","19,510,371 ","6,106,661 ","03-18"
"1988","The Milagro Beanfield War","13,825,794 ","47,271 ","03-18"
"1988","D.O.A.","12,706,478 ","3,751,432 ","03-18"
"1988","Biloxi Blues","43,184,798 ","7,093,325 ","03-25"
"1988","The Fox and the Hound (re-issue)","23,556,988 ","4,819,215 ","03-25"
"1988","Johnny Be Good","17,550,399 ","5,249,388 ","03-25"
"1988","Beetlejuice","73,707,461 ","8,030,897 ","03-30"
"1988","The Seventh Sign","18,875,011 ","3,768,707 ","04-01"
"1988","Bright Lights, Big City","16,118,077 ","5,126,791 ","04-01"
"1988","Above the Law","18,869,631 ","2,037,938 ","04-08"
"1988","Bad Dreams","9,797,098 ","4,008,870 ","04-08"
"1988","Colors","46,616,067 ","4,747,118 ","04-15"
"1988","Return to Snowy River","13,687,027 ","3,023,248 ","04-15"
"1988","Casual Sex?","12,277,096 ","3,840,032 ","04-22"
"1988","Shakedown","10,068,039 ","3,017,800 ","05-06"
"1988","Salsa - The Motion Picture","8,892,589 ","2,627,533 ","05-06"
"1988","Friday the 13th Part VII","19,170,001 ","8,245,038 ","05-13"
"1988","Willow","57,269,863 ","8,300,169 ","05-20"
