"year","movies_name","total_gross","opening_week","opening_date"
"2013","Texas Chainsaw 3D","34,341,945 ","21,744,470 ","01-04"
"2013","Gangster Squad","46,000,903 ","17,070,347 ","01-11"
"2013","A Haunted House","40,041,683 ","18,101,682 ","01-11"
"2013","Mama","71,628,180 ","28,402,310 ","01-18"
"2013","Hansel and Gretel: Witch Hunters","55,703,475 ","19,690,956 ","01-25"
"2013","Warm Bodies","66,380,662 ","20,353,967 ","02-01"
"2013","Identity Thief","134,506,920 ","34,551,025 ","02-08"
"2013","Side Effects (2013)","32,172,757 ","9,303,145 ","02-08"
"2013","Safe Haven","71,349,120 ","21,401,594 ","02-14"
"2013","A Good Day to Die Hard","67,349,198 ","24,834,845 ","02-14"
"2013","Escape From Planet Earth","57,012,977 ","15,891,055 ","02-15"
"2013","Snitch","42,930,462 ","13,167,607 ","02-22"
"2013","Jack the Giant Slayer","65,187,603 ","27,202,226 ","03-01"
"2013","21 and Over","25,682,380 ","8,754,168 ","03-01"
"2013","Oz The Great and Powerful","234,911,825 ","79,110,453 ","03-08"
"2013","The Call","51,872,378 ","17,118,745 ","03-15"
"2013","The Croods","187,168,425 ","43,639,736 ","03-22"
"2013","Olympus Has Fallen","98,925,640 ","30,373,794 ","03-22"
"2013","G.I. Joe: Retaliation","122,523,060 ","40,501,814 ","03-28"
"2013","Tyler Perry's Temptation: Confessions of a Marriage Counselor","51,975,354 ","21,641,679 ","03-29"
"2013","The Host (2013)","26,627,201 ","10,600,112 ","03-29"
"2013","Evil Dead (2013)","54,239,856 ","25,775,847 ","04-05"
"2013","Jurassic Park 3D","45,385,935 ","18,620,145 ","04-05"
"2013","42","95,020,213 ","27,487,144 ","04-12"
"2013","Scary Movie 5","32,015,787 ","14,157,367 ","04-12"
"2013","Oblivion","89,107,235 ","37,054,485 ","04-19"
"2013","Pain and Gain","49,875,291 ","20,244,505 ","04-26"
"2013","Iron Man 3","409,013,994 ","174,144,585 ","05-03"
"2013","The Great Gatsby (2013)","144,840,419 ","50,085,185 ","05-10"
"2013","Star Trek Into Darkness","228,778,661 ","70,165,559 ","05-16"
"2013","The Hangover Part III","112,200,072 ","41,671,198 ","05-23"
"2013","Fast & Furious 6","238,679,850 ","97,375,245 ","05-24"
"2013","Epic","107,518,682 ","33,531,068 ","05-24"
"2013","Now You See Me","117,723,989 ","29,350,389 ","05-31"
"2013","After Earth","60,522,097 ","27,520,040 ","05-31"
"2013","The Purge","64,473,115 ","34,058,360 ","06-07"
"2013","The Internship","44,672,764 ","17,325,307 ","06-07"
"2013","This is the End","101,470,202 ","20,719,162 ","06-12"
"2013","Man of Steel","291,045,518 ","116,619,362 ","06-14"
"2013","Monsters University","268,492,764 ","82,429,469 ","06-21"
"2013","World War Z","202,359,711 ","66,411,834 ","06-21"
"2013","The Heat","159,582,188 ","39,115,043 ","06-28"
"2013","White House Down","73,103,784 ","24,852,258 ","06-28"
"2013","Despicable Me 2","368,061,265 ","83,517,315 ","07-03"
"2013","The Lone Ranger","89,302,115 ","29,210,849 ","07-03"
"2013","Kevin Hart: Let Me Explain","32,244,051 ","10,030,463 ","07-03"
"2013","Grown Ups 2","133,668,525 ","41,508,572 ","07-12"
"2013","Pacific Rim","101,802,906 ","37,285,325 ","07-12"
"2013","Turbo","83,028,128 ","21,312,625 ","07-17"
"2013","The Conjuring","137,400,141 ","41,855,326 ","07-19"
"2013","Red 2","53,262,560 ","18,048,422 ","07-19"
"2013","R.I.P.D.","33,618,855 ","12,691,415 ","07-19"
"2013","The Wolverine","132,556,852 ","53,113,752 ","07-26"
"2013","Blue Jasmine","33,405,481 ","612,064 ","07-26"
"2013","The Smurfs 2","71,017,784 ","17,548,389 ","07-31"
"2013","2 Guns","75,612,460 ","27,059,130 ","08-02"
"2013","We're the Millers","150,394,119 ","26,419,396 ","08-07"
"2013","Percy Jackson: Sea of Monsters","68,559,554 ","14,401,054 ","08-07"
"2013","Elysium","93,050,117 ","29,807,393 ","08-09"
"2013","Planes","90,288,712 ","22,232,291 ","08-09"
"2013","Lee Daniels' The Butler","116,632,095 ","24,637,312 ","08-16"
"2013","Kick-Ass 2","28,795,985 ","13,332,955 ","08-16"
"2013","The Mortal Instruments: City of Bones","31,165,421 ","9,336,957 ","08-21"
"2013","The World's End","26,004,851 ","8,811,790 ","08-23"
"2013","Instructions Not Included","44,467,206 ","7,846,426 ","08-30"
"2013","One Direction: This is Us","28,873,374 ","15,815,497 ","08-30"
"2013","Riddick","42,025,135 ","19,030,375 ","09-06"
"2013","Insidious Chapter 2","83,586,447 ","40,272,103 ","09-13"
"2013","The Family (2013)","36,918,811 ","14,034,764 ","09-13"
"2013","Prisoners","61,002,302 ","20,817,053 ","09-20"
"2013","Rush (2013)","26,947,624 ","187,289 ","09-20"
"2013","Cloudy with a Chance of Meatballs 2","119,793,567 ","34,017,930 ","09-27"
"2013","Gravity","274,092,705 ","55,785,112 ","10-04"
"2013","Captain Phillips","107,100,855 ","25,718,314 ","10-11"
"2013","12 Years a Slave","56,671,993 ","923,715 ","10-18"
"2013","Carrie (2013)","35,266,619 ","16,101,552 ","10-18"
"2013","Jackass Presents: Bad Grandpa","102,003,019 ","32,055,177 ","10-25"
"2013","Last Vegas","63,914,167 ","16,334,566 ","11-01"
"2013","Ender's Game","61,737,191 ","27,017,351 ","11-01"
"2013","Free Birds","55,750,480 ","15,805,237 ","11-01"
"2013","Dallas Buyers Club","27,298,285 ","260,865 ","11-01"
"2013","Thor: The Dark World","206,362,140 ","85,737,841 ","11-08"
"2013","The Best Man Holiday","70,525,195 ","30,107,555 ","11-15"
"2013","The Hunger Games: Catching Fire","424,668,047 ","158,074,286 ","11-22"
"2013","Frozen","400,738,009 ","243,390 ","11-22"
"2013","Philomena","37,709,979 ","128,435 ","11-22"
"2013","Delivery Man","30,664,106 ","7,944,977 ","11-22"
"2013","The Hobbit: The Desolation of Smaug","258,366,855 ","73,645,197 ","12-13"
"2013","American Hustle","150,117,807 ","740,455 ","12-13"
"2013","Saving Mr. Banks","83,301,580 ","413,373 ","12-13"
"2013","Tyler Perry's A Madea Christmas","52,543,354 ","16,007,634 ","12-13"
"2013","Anchorman 2: The Legend Continues","125,168,368 ","26,232,425 ","12-18"
"2013","Her (2013)","25,568,251 ","260,382 ","12-18"
"2013","Walking with Dinosaurs","36,076,121 ","7,091,938 ","12-20"
"2013","Lone Survivor","125,095,601 ","90,872 ","12-25"
"2013","The Wolf of Wall Street","116,900,694 ","18,361,578 ","12-25"
"2013","The Secret Life of Walter Mitty","58,236,838 ","12,765,508 ","12-25"
"2013","47 Ronin","38,362,475 ","9,910,310 ","12-25"
"2013","Grudge Match","29,807,260 ","7,021,993 ","12-25"
"2013","August: Osage County","37,738,810 ","179,302 ","12-27"
