"year","movies_name","total_gross","opening_week","opening_date"
"2011","The Green Hornet","98,780,042 ","33,526,876 ","01-14"
"2011","The Dilemma","48,475,290 ","17,816,230 ","01-14"
"2011","No Strings Attached","70,662,220 ","19,652,921 ","01-21"
"2011","The Rite","33,047,633 ","14,789,393 ","01-28"
"2011","The Roommate","37,300,107 ","15,002,635 ","02-04"
"2011","Just Go With It","103,028,109 ","30,514,732 ","02-11"
"2011","Gnomeo and Juliet","99,967,670 ","25,356,909 ","02-11"
"2011","Justin Bieber: Never Say Never","73,013,910 ","29,514,054 ","02-11"
"2011","Unknown","63,686,397 ","21,856,389 ","02-18"
"2011","I Am Number Four","55,100,437 ","19,449,893 ","02-18"
"2011","Big Mommas: Like Father, Like Son","37,915,414 ","16,300,803 ","02-18"
"2011","Hall Pass","45,060,734 ","13,535,374 ","02-25"
"2011","Rango","123,477,607 ","38,079,323 ","03-04"
"2011","The Adjustment Bureau","62,495,645 ","21,157,730 ","03-04"
"2011","Battle: Los Angeles","83,552,429 ","35,573,187 ","03-11"
"2011","Red Riding Hood","37,662,162 ","14,005,335 ","03-11"
"2011","Limitless","79,249,455 ","18,907,302 ","03-18"
"2011","The Lincoln Lawyer","58,009,200 ","13,206,453 ","03-18"
"2011","Paul","37,412,945 ","13,043,310 ","03-18"
"2011","Diary of a Wimpy Kid: Rodrick Rules","52,698,535 ","23,751,502 ","03-25"
"2011","Sucker Punch","36,392,502 ","19,058,199 ","03-25"
"2011","Hop","108,085,305 ","37,543,710 ","04-01"
"2011","Source Code","54,712,227 ","14,812,094 ","04-01"
"2011","Insidious","54,009,150 ","13,271,464 ","04-01"
"2011","Soul Surfer","43,853,424 ","10,601,862 ","04-08"
"2011","Hanna","40,259,119 ","12,370,549 ","04-08"
"2011","Arthur (2011)","33,035,397 ","12,222,756 ","04-08"
"2011","Rio","143,619,809 ","39,225,962 ","04-15"
"2011","Scream 4","38,180,928 ","18,692,090 ","04-15"
"2011","Water for Elephants","58,709,717 ","16,842,353 ","04-22"
"2011","Tyler Perry's Madea's Big Happy Family","53,345,287 ","25,068,677 ","04-22"
"2011","Fast Five","209,837,675 ","86,198,765 ","04-29"
"2011","Thor","181,030,624 ","65,723,338 ","05-06"
"2011","Something Borrowed","39,046,489 ","13,945,368 ","05-06"
"2011","Jumping the Broom","37,295,394 ","15,215,487 ","05-06"
"2011","Bridesmaids","169,106,725 ","26,247,410 ","05-13"
"2011","Pirates of the Caribbean: On Stranger Tides","241,071,802 ","90,151,958 ","05-20"
"2011","Midnight in Paris","56,817,045 ","599,003 ","05-20"
"2011","The Hangover Part II","254,464,305 ","85,946,294 ","05-26"
"2011","Kung Fu Panda 2","165,249,063 ","47,656,302 ","05-26"
"2011","X-Men: First Class","146,408,305 ","55,101,604 ","06-03"
"2011","Super 8","127,004,179 ","35,451,168 ","06-10"
"2011","Green Lantern","116,601,172 ","53,174,303 ","06-17"
"2011","Mr. Popper's Penguins","68,224,452 ","18,445,355 ","06-17"
"2011","Cars 2","191,452,396 ","66,135,507 ","06-24"
"2011","Bad Teacher","100,292,856 ","31,603,106 ","06-24"
"2011","Transformers: Dark of the Moon","352,390,543 ","97,852,865 ","06-29"
"2011","Larry Crowne","35,608,245 ","13,096,065 ","07-01"
"2011","Horrible Bosses","117,538,559 ","28,302,165 ","07-08"
"2011","Zookeeper","80,360,843 ","20,065,617 ","07-08"
"2011","Harry Potter and the Deathly Hallows Part 2","381,011,219 ","169,189,427 ","07-15"
"2011","Captain America: The First Avenger","176,654,505 ","65,058,524 ","07-22"
"2011","Friends with Benefits","55,802,754 ","18,622,150 ","07-22"
"2011","The Smurfs","142,614,158 ","35,611,637 ","07-29"
"2011","Cowboys & Aliens","100,240,551 ","36,431,290 ","07-29"
"2011","Crazy, Stupid, Love.","84,351,197 ","19,104,303 ","07-29"
"2011","Rise of the Planet of the Apes","176,760,185 ","54,806,191 ","08-05"
"2011","The Change-Up","37,081,475 ","13,531,115 ","08-05"
"2011","The Help","169,708,112 ","26,044,590 ","08-10"
"2011","Final Destination 5","42,587,643 ","18,031,396 ","08-12"
"2011","30 Minutes or Less","37,053,924 ","13,330,118 ","08-12"
"2011","Spy Kids: All the Time in the World","38,538,188 ","11,644,672 ","08-19"
"2011","Colombiana","36,665,854 ","10,408,176 ","08-26"
"2011","The Debt","31,177,548 ","9,909,499 ","08-31"
"2011","Contagion","75,658,097 ","22,403,596 ","09-09"
"2011","The Lion King (in 3D)","94,242,001 ","30,151,614 ","09-16"
"2011","Drive (2011)","35,060,689 ","11,340,461 ","09-16"
"2011","Moneyball","75,605,492 ","19,501,302 ","09-23"
"2011","Dolphin Tale","72,286,779 ","19,152,401 ","09-23"
"2011","50/50","35,014,192 ","8,644,095 ","09-30"
"2011","Courageous","34,522,221 ","9,112,839 ","09-30"
"2011","Real Steel","85,468,508 ","27,319,677 ","10-07"
"2011","The Ides of March","40,962,534 ","10,470,143 ","10-07"
"2011","Footloose (2011)","51,802,742 ","15,556,113 ","10-14"
"2011","Paranormal Activity 3","104,028,807 ","52,568,183 ","10-21"
"2011","Puss in Boots","149,260,504 ","34,077,439 ","10-28"
"2011","In Time","37,520,095 ","12,050,368 ","10-28"
"2011","Tower Heist","78,046,570 ","24,025,190 ","11-04"
"2011","A Very Harold & Kumar 3D Christmas","35,061,031 ","12,954,142 ","11-04"
"2011","J. Edgar","37,306,030 ","11,217,324 ","11-09"
"2011","Immortals","83,504,017 ","32,206,425 ","11-11"
"2011","Jack and Jill","74,158,157 ","25,003,575 ","11-11"
"2011","The Descendants","82,584,160 ","1,190,096 ","11-16"
"2011","The Twilight Saga: Breaking Dawn Part 1","281,287,133 ","138,122,261 ","11-18"
"2011","Happy Feet Two","64,006,466 ","21,237,068 ","11-18"
"2011","The Muppets","88,631,237 ","29,239,026 ","11-23"
"2011","Hugo","73,864,507 ","11,364,505 ","11-23"
"2011","Arthur Christmas","46,462,469 ","12,068,931 ","11-23"
"2011","The Artist","44,671,682 ","204,878 ","11-25"
"2011","New Year's Eve","54,544,638 ","13,019,180 ","12-09"
"2011","The Sitter","30,441,326 ","9,851,435 ","12-09"
"2011","Mission: Impossible - Ghost Protocol","209,397,903 ","12,785,204 ","12-16"
"2011","Sherlock Holmes: A Game of Shadows","186,848,418 ","39,637,079 ","12-16"
"2011","Alvin and the Chipmunks: Chipwrecked","133,110,742 ","23,244,744 ","12-16"
"2011","The Girl with the Dragon Tattoo (2011)","102,515,793 ","12,768,604 ","12-21"
"2011","The Adventures of Tintin","77,591,831 ","9,720,993 ","12-21"
"2011","We Bought a Zoo","75,624,550 ","9,360,434 ","12-23"
"2011","War Horse","79,884,879 ","7,515,402 ","12-25"
"2011","Extremely Loud & Incredibly Close","31,847,881 ","72,348 ","12-25"
"2011","The Iron Lady","30,017,992 ","220,409 ","12-30"
