"year","movies_name","total_gross","opening_week","opening_date"
"1997","The Relic","33,956,608 ","9,064,143 ","01-10"
"1997","Jackie Chan's First Strike","15,318,863 ","5,778,933 ","01-10"
"1997","Metro","32,000,301 ","11,411,107 ","01-17"
"1997","Beverly Hills Ninja","31,480,418 ","12,220,920 ","01-17"
"1997","Star Wars (Special Edition)","138,257,865 ","35,906,661 ","01-31"
"1997","Dante's Peak","67,127,760 ","18,479,435 ","02-07"
"1997","Absolute Power","50,068,310 ","14,678,016 ","02-14"
"1997","Vegas Vacation","36,400,360 ","12,837,927 ","02-14"
"1997","Fools Rush In","29,481,428 ","8,588,068 ","02-14"
"1997","That Darn Cat","18,301,610 ","6,424,617 ","02-14"
"1997","The Empire Strikes Back (Special Edition)","67,597,694 ","21,975,993 ","02-21"
"1997","Donnie Brasco","41,909,762 ","11,660,216 ","02-28"
"1997","Booty Call","20,050,376 ","6,429,364 ","02-28"
"1997","Jungle 2 Jungle","59,927,618 ","12,812,047 ","03-07"
"1997","Private Parts","41,230,799 ","14,616,333 ","03-07"
"1997","Return of the Jedi (Special Edition)","45,470,437 ","16,293,531 ","03-14"
"1997","Liar Liar","181,410,615 ","31,423,025 ","03-21"
"1997","Selena","35,281,794 ","11,615,722 ","03-21"
"1997","The Devil's Own","42,868,348 ","14,274,503 ","03-28"
"1997","The 6th Man","14,772,788 ","4,128,178 ","03-28"
"1997","The Saint","61,363,304 ","16,278,873 ","04-04"
"1997","That Old Feeling","16,574,176 ","5,103,075 ","04-04"
"1997","Anaconda","65,885,767 ","16,620,887 ","04-11"
"1997","Grosse Pointe Blank","28,084,357 ","6,870,397 ","04-11"
"1997","Murder at 1600","25,804,707 ","7,962,268 ","04-18"
"1997","Volcano","49,323,468 ","14,581,740 ","04-25"
"1997","Romy & Michele's High School Reunion","29,235,353 ","7,429,406 ","04-25"
"1997","Austin Powers: International Man of Mystery","53,883,989 ","9,548,111 ","05-02"
"1997","Breakdown","50,159,144 ","12,307,128 ","05-02"
"1997","The Fifth Element","63,820,180 ","17,031,345 ","05-09"
"1997","Father's Day","28,598,376 ","8,776,159 ","05-09"
"1997","The Lost World: Jurassic Park","229,086,679 ","72,132,785 ","05-23"
"1997","Addicted to Love","34,673,095 ","11,446,098 ","05-23"
"1997","Gone Fishin'","19,745,922 ","5,784,123 ","05-30"
"1997","Con Air","101,117,573 ","24,131,738 ","06-06"
"1997","Speed 2: Cruise Control","48,608,066 ","16,158,942 ","06-13"
"1997","Hercules","99,112,101 ","249,567 ","06-15"
"1997","My Best Friend's Wedding","127,120,029 ","21,678,377 ","06-20"
"1997","Batman and Robin","107,325,195 ","42,872,605 ","06-20"
"1997","Face/Off","112,276,146 ","23,387,530 ","06-27"
"1997","Men in Black","250,690,539 ","51,068,455 ","07-02"
