"year","movies_name","total_gross","opening_week","opening_date"
"1987","Critical Condition","20,240,502 ","5,715,701 ","01-16"
"1987","The Bedroom Window","12,640,385 ","2,919,657 ","01-16"
"1987","Wanted: Dead or Alive","7,555,000 ","2,845,836 ","01-16"
"1987","Outrageous Fortune","52,864,741 ","6,404,783 ","01-30"
"1987","Radio Days","14,792,779 ","1,522,423 ","01-30"
"1987","Black Widow","25,205,460 ","3,426,831 ","02-06"
"1987","Light of Day","10,489,617 ","3,536,309 ","02-06"
"1987","From the Hip","9,518,342 ","2,645,437 ","02-06"
"1987","Mannequin","42,721,196 ","6,001,208 ","02-13"
"1987","Over the Top","16,057,580 ","5,149,200 ","02-13"
"1987","A Nightmare on Elm Street 3: Dream Warriors","44,793,222 ","8,880,555 ","02-27"
"1987","Some Kind of Wonderful","18,553,948 ","3,486,701 ","02-27"
"1987","Lethal Weapon","65,207,127 ","6,829,949 ","03-06"
"1987","Tin Men","25,411,386 ","187,381 ","03-06"
"1987","Angel Heart","17,185,632 ","3,688,721 ","03-06"
"1987","Raising Arizona","22,847,564 ","36,240 ","03-13"
"1987","Burglar","16,337,355 ","4,509,754 ","03-20"
"1987","Blind Date","39,321,715 ","7,531,273 ","03-27"
"1987","Police Academy 4: Citizens on Patrol","28,061,343 ","8,482,487 ","04-03"
"1987","The Secret of My Success","66,995,879 ","7,766,452 ","04-10"
"1987","The Aristocats (Re-issue) (1987)","17,452,658 ","3,168,071 ","04-10"
"1987","Project X (1987)","18,532,286 ","3,309,985 ","04-17"
"1987","Extreme Prejudice","11,307,844 ","3,498,957 ","04-24"
"1987","Creepshow 2","14,000,000 ","3,584,077 ","05-01"
"1987","My Life as a Dog","8,345,266 ","11,667 ","05-01"
"1987","Ishtar","14,375,181 ","4,331,817 ","05-15"
"1987","The Gate","13,539,458 ","4,258,063 ","05-15"
"1987","Beverly Hills Cop II","153,665,036 ","26,348,555 ","05-20"
"1987","Ernest Goes to Camp","23,509,382 ","6,171,957 ","05-22"
"1987","The Chipmunk Adventure","6,804,312 ","2,584,720 ","05-22"
"1987","The Untouchables","76,270,454 ","10,023,094 ","06-05"
"1987","Harry and the Hendersons","29,760,613 ","4,154,740 ","06-05"
"1987","Benji the Hunted","22,257,624 ","21,530 ","06-05"
"1987","The Witches of Eastwick","63,766,510 ","9,454,238 ","06-12"
"1987","Predator","59,735,548 ","12,031,638 ","06-12"
"1987","The Believers","18,753,438 ","4,342,732 ","06-12"
"1987","Roxanne","40,050,884 ","4,582,398 ","06-19"
"1987","Dragnet","57,387,516 ","10,542,669 ","06-26"
"1987","Full Metal Jacket","46,357,676 ","2,217,307 ","06-26"
"1987","Spaceballs","38,119,483 ","6,613,837 ","06-26"
"1987","Adventures in Babysitting","34,368,475 ","2,901,297 ","07-03"
"1987","Innerspace","25,893,810 ","4,739,913 ","07-03"
"1987","Revenge of the Nerds II: Nerds in Paradise","30,063,289 ","7,900,879 ","07-10"
"1987","Robocop","53,424,681 ","8,008,721 ","07-17"
"1987","Snow White and the Seven Dwarfs (Re-issue) (1987)","46,594,212 ","7,514,749 ","07-17"
"1987","Jaws IV: The Revenge","20,763,013 ","7,154,890 ","07-17"
"1987","La Bamba","54,215,416 ","5,651,990 ","07-24"
"1987","Summer School","35,659,098 ","6,012,274 ","07-24"
"1987","Superman IV: The Quest for Peace","15,681,020 ","5,683,122 ","07-24"
"1987","The Living Daylights","51,185,897 ","11,051,284 ","07-31"
"1987","The Lost Boys","32,222,567 ","5,236,318 ","07-31"
"1987","Maid to Order","9,868,521 ","1,162,491 ","07-31"
"1987","Stakeout","65,673,233 ","5,170,403 ","08-07"
"1987","Masters of the Universe","17,336,370 ","4,883,168 ","08-07"
"1987","Back to the Beach","13,110,903 ","3,265,660 ","08-07"
"1987","Who's That Girl","7,305,209 ","2,548,205 ","08-07"
"1987","No Way Out","35,509,515 ","4,259,460 ","08-14"
"1987","Can't Buy Me Love","31,623,833 ","4,754,732 ","08-14"
"1987","Disorderlies","10,348,437 ","2,707,980 ","08-14"
"1987","Dirty Dancing","63,446,382 ","3,900,000 ","08-21"
"1987","The Big Easy","17,685,307 ","353,259 ","08-21"
"1987","Born in East L.A.","17,355,263 ","4,359,040 ","08-21"
"1987","Hamburger Hill","13,839,404 ","3,360,705 ","08-28"
"1987","The Fourth Protocol","12,423,831 ","3,636,831 ","08-28"
"1987","House II","7,800,000 ","2,573,934 ","08-28"
"1987","Fatal Attraction","156,645,693 ","7,602,740 ","09-18"
"1987","The Principal","19,734,940 ","4,297,710 ","09-18"
"1987","Hellraiser","14,564,027 ","4,453,232 ","09-18"
"1987","The Pick-Up Artist","13,290,368 ","4,455,516 ","09-18"
"1987","The Princess Bride","30,857,814 ","206,243 ","09-25"
"1987","Like Father, Like Son","34,377,585 ","7,189,452 ","10-02"
"1987","Baby Boom","26,712,476 ","1,357,413 ","10-09"
"1987","Someone to Watch Over Me","10,278,549 ","2,908,796 ","10-09"
"1987","Hope and Glory","10,021,120 ","25,497 ","10-16"
"1987","Suspect","18,782,400 ","4,152,015 ","10-23"
"1987","Prince of Darkness","14,182,492 ","4,657,401 ","10-23"
"1987","Fatal Beauty","12,046,526 ","2,693,714 ","10-30"
"1987","The Hidden","9,747,988 ","2,492,618 ","10-30"
"1987","Hello Again","20,419,446 ","5,712,892 ","11-06"
"1987","Less Than Zero","12,396,383 ","3,008,987 ","11-06"
"1987","Hiding Out","7,019,441 ","2,062,120 ","11-06"
"1987","Death Wish 4: The Crackdown","6,880,310 ","2,466,557 ","11-06"
"1987","The Running Man","38,122,105 ","8,117,465 ","11-13"
"1987","The Last Emperor","43,984,230 ","149,460 ","11-20"
