"year","movies_name","total_gross","opening_week","opening_date"
"1985","Tuff Turf","9,369,329 ","1,509,380 ","01-11"
"1985","The Falcon and the Snowman","17,130,087 ","2,358,846 ","01-25"
"1985","Tomboy","14,100,000 ","1,723,935 ","01-25"
"1985","Witness","68,706,993 ","4,539,990 ","02-08"
"1985","Mischief","8,692,426 ","2,618,460 ","02-08"
"1985","Fantasia (Re-issue) (1985)","8,194,726 ","980,798 ","02-08"
"1985","The Breakfast Club","45,875,171 ","5,107,599 ","02-15"
"1985","Vision Quest","12,993,175 ","2,651,665 ","02-15"
"1985","The Sure Thing","18,135,531 ","3,124,782 ","03-01"
"1985","Missing in Action II: The Beginning","10,755,447 ","3,868,515 ","03-01"
"1985","The Purple Rose of Cairo","10,631,333 ","114,095 ","03-01"
"1985","Mask","48,230,162 ","135,499 ","03-08"
"1985","Lost in America","10,179,000 ","154,877 ","03-15"
"1985","The Last Dragon","25,754,284 ","5,254,359 ","03-22"
"1985","Friday the 13th - Part V","21,930,418 ","8,032,883 ","03-22"
"1985","Porky's Revenge (Part III)","20,518,905 ","6,207,507 ","03-22"
"1985","Baby: Secret of the Lost Legend","14,972,297 ","4,035,147 ","03-22"
"1985","Police Academy 2: Their First Assignment","55,600,000 ","10,675,896 ","03-29"
"1985","Desperately Seeking Susan","27,398,584 ","1,526,098 ","03-29"
"1985","The Care Bears Movie","22,934,622 ","3,725,001 ","03-29"
"1985","Return of the Jedi (Re-issue)","11,252,123 ","3,209,056 ","03-29"
"1985","Ladyhawke","18,432,000 ","3,450,536 ","04-12"
"1985","Cat's Eye","13,086,298 ","3,451,191 ","04-12"
"1985","Moving Violations","10,627,754 ","3,469,488 ","04-19"
"1985","Just One of the Guys","11,528,900 ","3,307,171 ","04-26"
"1985","Stick","8,489,518 ","3,358,299 ","04-26"
"1985","Code of Silence","20,345,361 ","5,512,461 ","05-03"
"1985","Gotcha!","10,806,919 ","2,360,484 ","05-03"
"1985","Rambo: First Blood Part II","150,415,432 ","20,176,217 ","05-22"
"1985","Brewster's Millions","40,833,132 ","9,858,905 ","05-22"
"1985","A View to a Kill","50,327,960 ","10,687,114 ","05-24"
"1985","Fletch","50,612,888 ","7,022,970 ","05-31"
"1985","The Goonies","61,389,680 ","9,105,913 ","06-07"
"1985","Perfect","12,918,858 ","4,222,810 ","06-07"
"1985","Prizzi's Honor","26,657,534 ","4,234,537 ","06-14"
"1985","Secret Admirer","8,622,757 ","2,414,984 ","06-14"
"1985","D.A.R.Y.L.","7,840,873 ","2,649,832 ","06-14"
"1985","Cocoon","76,113,124 ","7,936,427 ","06-21"
"1985","Lifeforce","11,603,545 ","4,209,136 ","06-21"
"1985","Return to Oz","11,137,801 ","2,844,895 ","06-21"
"1985","Pale Rider","41,410,568 ","9,119,111 ","06-28"
"1985","St. Elmo's Fire","37,803,872 ","6,128,157 ","06-28"
"1985","Back to the Future","210,609,762 ","11,152,500 ","07-03"
"1985","The Emerald Forest","24,468,550 ","4,345,150 ","07-05"
"1985","Mad Max Beyond Thunderdome","36,230,219 ","7,283,714 ","07-12"
"1985","Silverado","32,192,570 ","3,522,897 ","07-12"
"1985","Explorers","9,873,044 ","3,607,340 ","07-12"
"1985","E.T.: The Extra-Terrestrial (Re-issue)","40,607,502 ","8,807,023 ","07-19"
"1985","The Man with One Red Shoe","8,645,411 ","3,139,015 ","07-19"
"1985","European Vacation","49,364,621 ","12,329,627 ","07-26"
"1985","The Black Cauldron","21,288,692 ","4,180,110 ","07-26"
"1985","Kiss of the Spider Woman","17,005,229 ","55,962 ","07-26"
"1985","Fright Night","24,922,237 ","6,118,543 ","08-02"
"1985","Weird Science","23,834,048 ","4,895,421 ","08-02"
"1985","Follow That Bird (Sesame St.)","13,961,370 ","2,415,626 ","08-02"
"1985","Pee-Wee's Big Adventure","40,940,662 ","4,545,847 ","08-09"
"1985","Summer Rental","24,689,703 ","5,754,259 ","08-09"
"1985","Real Genius","12,952,019 ","2,557,180 ","08-09"
"1985","Volunteers","19,875,740 ","5,184,360 ","08-16"
"1985","Year of the Dragon","18,707,466 ","4,093,079 ","08-16"
"1985","Return of the Living Dead","14,237,880 ","4,403,169 ","08-16"
"1985","Teen Wolf","33,086,611 ","6,120,348 ","08-23"
"1985","Better Off Dead","10,297,601 ","56,371 ","08-23"
"1985","Ghostbusters (Re-issue)","9,389,135 ","2,085,116 ","08-23"
"1985","Compromising Positions","12,531,831 ","3,014,756 ","08-30"
"1985","American Ninja","10,499,694 ","3,234,837 ","08-30"
"1985","Agnes of God","25,627,836 ","221,552 ","09-13"
"1985","After Hours","10,609,321 ","45,435 ","09-13"
"1985","Invasion U.S.A.","17,536,256 ","6,891,609 ","09-27"
"1985","The Journey of Natty Gann","9,708,373 ","490,318 ","09-27"
"1985","Jagged Edge","40,491,165 ","4,094,091 ","10-04"
"1985","Commando","35,100,000 ","7,700,015 ","10-04"
"1985","Sweet Dreams","9,085,049 ","2,161,284 ","10-04"
"1985","Remo Williams: The Adventure Begins","14,393,902 ","3,376,971 ","10-11"
"1985","Silver Bullet","12,361,866 ","4,013,563 ","10-11"
"1985","Krush Groove","11,052,713 ","2,905,293 ","10-25"
"1985","Twice in a Lifetime","8,402,424 ","1,036,429 ","10-25"
"1985","A Nightmare on Elm Street 2: Freddy's Revenge","29,999,213 ","2,865,475 ","11-01"
"1985","To Live and Die in L.A.","17,307,019 ","3,551,761 ","11-01"
"1985","Death Wish 3","16,116,878 ","5,319,116 ","11-01"
"1985","Target","9,023,199 ","2,670,522 ","11-08"
"1985","That Was Then... This Is Now","8,630,068 ","2,502,780 ","11-08"
"1985","Once Bitten","10,000,000 ","4,025,657 ","11-15"
"1985","White Nights","42,160,849 ","477,539 ","11-22"
"1985","King Solomon's Mines","15,057,465 ","5,005,788 ","11-22"
"1985","One Magic Christmas","13,677,222 ","2,662,241 ","11-22"
"1985","Rocky IV","127,873,716 ","19,991,537 ","11-27"
"1985","Santa Claus: The Movie","23,717,291 ","5,647,160 ","11-27"
"1985","Spies Like Us","60,088,980 ","8,614,039 ","12-06"
"1985","Young Sherlock Holmes","19,739,575 ","2,538,234 ","12-06"
"1985","Runaway Train","7,683,620 ","2,601,480 ","12-06"
