"year","movies_name","total_gross","opening_week","opening_date"
"2012","The Devil Inside","53,261,944 ","33,732,515 ","01-06"
"2012","Contraband","66,528,000 ","24,349,815 ","01-13"
"2012","Beauty and the Beast (3D)","47,617,067 ","17,751,905 ","01-13"
"2012","Joyful Noise","30,932,113 ","11,225,190 ","01-13"
"2012","Underworld Awakening","62,321,039 ","25,306,725 ","01-20"
"2012","Red Tails","49,876,377 ","18,782,154 ","01-20"
"2012","The Grey","51,580,236 ","19,665,101 ","01-27"
"2012","Chronicle (2012)","64,575,175 ","22,004,098 ","02-03"
"2012","The Woman in Black","54,333,290 ","20,874,072 ","02-03"
"2012","Safe House","126,373,434 ","40,172,720 ","02-10"
"2012","The Vow","125,014,030 ","41,202,458 ","02-10"
"2012","Journey 2: The Mysterious Island","103,860,290 ","27,335,363 ","02-10"
"2012","Star Wars: Episode I - The Phantom Menace (in 3D)","43,456,382 ","22,469,932 ","02-10"
"2012","This Means War","54,760,791 ","17,405,930 ","02-17"
"2012","Ghost Rider: Spirit of Vengeance","51,774,002 ","22,115,334 ","02-17"
"2012","Act of Valor","70,012,847 ","24,476,632 ","02-24"
"2012","Tyler Perry's Good Deeds","35,025,791 ","15,583,924 ","02-24"
"2012","Dr. Seuss' The Lorax","214,030,500 ","70,217,070 ","03-02"
"2012","Project X","54,731,865 ","21,051,363 ","03-02"
"2012","John Carter","73,078,100 ","30,180,188 ","03-09"
"2012","21 Jump Street","138,447,667 ","36,302,612 ","03-16"
"2012","The Hunger Games","408,010,692 ","152,535,747 ","03-23"
"2012","Wrath of the Titans","83,670,083 ","33,457,188 ","03-30"
"2012","Mirror Mirror","64,935,167 ","18,132,085 ","03-30"
"2012","Titanic 3D","57,884,114 ","17,285,453 ","04-04"
"2012","American Reunion","57,011,521 ","21,514,080 ","04-06"
"2012","The Three Stooges","44,338,224 ","17,010,125 ","04-13"
"2012","The Cabin in the Woods","42,073,277 ","14,743,614 ","04-13"
"2012","Think Like a Man","91,547,205 ","33,636,303 ","04-20"
"2012","The Lucky One","60,457,138 ","22,518,358 ","04-20"
"2012","Chimpanzee","28,972,764 ","10,673,748 ","04-20"
"2012","The Pirates! Band of Misfits","31,051,126 ","11,137,734 ","04-27"
