"year","movies_name","total_gross","opening_week","opening_date"
"2009","Bride Wars","58,715,510 ","21,058,173 ","01-09"
"2009","The Unborn (2009)","42,670,410 ","19,810,585 ","01-09"
"2009","Paul Blart: Mall Cop","146,336,178 ","31,832,636 ","01-16"
"2009","Hotel for Dogs","73,034,460 ","17,012,212 ","01-16"
"2009","My Bloody Valentine 3-D","51,545,952 ","21,241,456 ","01-16"
"2009","Notorious (2009)","36,843,682 ","20,497,596 ","01-16"
"2009","Underworld: Rise of the Lycans","45,802,315 ","20,828,511 ","01-23"
"2009","Taken","145,000,989 ","24,717,037 ","01-30"
"2009","The Uninvited","28,596,818 ","10,325,824 ","01-30"
"2009","He's Just Not That Into You","93,953,653 ","27,785,487 ","02-06"
"2009","Coraline","75,286,229 ","16,849,640 ","02-06"
"2009","The Pink Panther 2","35,922,978 ","11,588,150 ","02-06"
"2009","Push","31,811,527 ","10,079,109 ","02-06"
"2009","Friday the 13th (2009)","65,002,019 ","40,570,365 ","02-13"
"2009","Confessions of a Shopaholic","44,277,350 ","15,066,360 ","02-13"
"2009","Under the Sea 3D","35,979,693 ","661,185 ","02-13"
"2009","Tyler Perry's Madea Goes to Jail","90,508,336 ","41,030,947 ","02-20"
"2009","Watchmen","107,509,799 ","55,214,334 ","03-06"
"2009","Race to Witch Mountain","67,172,594 ","24,402,214 ","03-13"
"2009","The Last House on the Left (2009)","32,752,215 ","14,118,685 ","03-13"
"2009","Knowing","79,957,634 ","24,604,751 ","03-20"
"2009","I Love You, Man","71,440,011 ","17,810,270 ","03-20"
"2009","Duplicity","40,572,825 ","13,965,110 ","03-20"
"2009","Monsters Vs. Aliens","198,351,526 ","59,321,095 ","03-27"
"2009","The Haunting in Connecticut","55,389,516 ","23,004,765 ","03-27"
"2009","Fast and Furious","155,064,265 ","70,950,500 ","04-03"
"2009","Hannah Montana The Movie","79,576,189 ","32,324,487 ","04-10"
"2009","17 Again","64,167,069 ","23,722,310 ","04-17"
"2009","State of Play","37,017,955 ","14,071,280 ","04-17"
"2009","Earth (2009)","32,011,576 ","8,825,760 ","04-22"
"2009","Obsessed","68,261,644 ","28,612,730 ","04-24"
"2009","The Soloist","31,720,158 ","9,716,458 ","04-24"
"2009","X-Men Origins: Wolverine","179,883,157 ","85,058,003 ","05-01"
"2009","Ghosts of Girlfriends Past","55,250,026 ","15,411,434 ","05-01"
"2009","Star Trek","257,730,019 ","75,204,289 ","05-08"
"2009","Angels & Demons","133,375,846 ","46,204,168 ","05-15"
"2009","Terminator Salvation","125,322,469 ","42,558,390 ","05-21"
"2009","Night at the Museum: Battle of the Smithsonian","177,243,721 ","54,173,286 ","05-22"
"2009","Dance Flick","25,662,155 ","10,643,536 ","05-22"
"2009","Up","293,004,164 ","68,108,790 ","05-29"
"2009","Drag Me to Hell","42,100,625 ","15,825,480 ","05-29"
"2009","The Hangover","277,322,503 ","44,979,319 ","06-05"
"2009","Land of the Lost","49,438,370 ","18,837,350 ","06-05"
"2009","The Taking of Pelham 1 2 3","65,452,312 ","23,373,102 ","06-12"
"2009","The Proposal","163,958,031 ","33,627,598 ","06-19"
"2009","Year One","43,337,279 ","19,610,304 ","06-19"
"2009","Transformers: Revenge of the Fallen","402,111,870 ","108,966,307 ","06-24"
"2009","My Sister's Keeper","49,200,230 ","12,442,212 ","06-26"
"2009","Ice Age: Dawn of the Dinosaurs","196,573,705 ","41,690,382 ","07-01"
"2009","Public Enemies","97,104,620 ","25,271,675 ","07-01"
"2009","Bruno","60,054,530 ","30,619,130 ","07-10"
"2009","Harry Potter and the Half-Blood Prince","301,959,197 ","77,835,727 ","07-15"
"2009","(500) Days of Summer","32,391,374 ","834,501 ","07-17"
"2009","G-Force","119,436,770 ","31,706,934 ","07-24"
"2009","The Ugly Truth","88,915,214 ","27,605,576 ","07-24"
"2009","Orphan","41,596,251 ","12,871,483 ","07-24"
"2009","Funny People","51,855,045 ","22,657,780 ","07-31"
"2009","G.I. Joe: The Rise of Cobra","150,201,498 ","54,713,046 ","08-07"
"2009","Julie & Julia","94,125,426 ","20,027,956 ","08-07"
"2009","District 9","115,646,235 ","37,354,308 ","08-14"
"2009","The Time Traveler's Wife","63,414,846 ","18,623,171 ","08-14"
"2009","Inglourious Basterds","120,540,719 ","38,054,676 ","08-21"
"2009","The Final Destination","66,477,700 ","27,408,309 ","08-28"
"2009","Halloween II (2009)","33,392,973 ","16,349,565 ","08-28"
"2009","All About Steve","33,862,903 ","11,241,214 ","09-04"
"2009","9","31,749,894 ","10,740,446 ","09-09"
"2009","Tyler Perry's I Can Do Bad All By Myself","51,733,921 ","23,446,785 ","09-11"
"2009","Cloudy with a Chance of Meatballs","124,870,275 ","30,304,648 ","09-18"
"2009","The Informant!","33,316,821 ","10,464,314 ","09-18"
"2009","Paranormal Activity","107,918,810 ","77,873 ","09-25"
"2009","Surrogates","38,577,772 ","14,902,692 ","09-25"
"2009","Zombieland","75,590,286 ","24,733,155 ","10-02"
"2009","Toy Story / Toy Story 2 (3D)","30,702,446 ","12,491,789 ","10-02"
"2009","Couples Retreat","109,204,945 ","34,286,740 ","10-09"
"2009","Where the Wild Things Are","77,233,467 ","32,695,407 ","10-16"
"2009","Law Abiding Citizen","73,357,727 ","21,039,502 ","10-16"
"2009","The Stepfather (2009)","29,062,561 ","11,581,586 ","10-16"
"2009","Saw VI","27,693,292 ","14,118,444 ","10-23"
"2009","Michael Jackson's This Is It","72,091,016 ","23,234,394 ","10-28"
"2009","A Christmas Carol (2009)","137,855,863 ","30,051,075 ","11-06"
"2009","Precious: Based on the Novel ""Push"" by Sapphire","47,566,524 ","1,872,458 ","11-06"
"2009","The Men Who Stare at Goats","32,428,195 ","12,706,654 ","11-06"
"2009","The Fourth Kind","25,486,040 ","12,231,160 ","11-06"
"2009","2012","166,112,167 ","65,237,614 ","11-13"
"2009","The Twilight Saga: New Moon","296,623,634 ","142,839,137 ","11-20"
"2009","The Blind Side","255,959,475 ","34,119,372 ","11-20"
"2009","Planet 51","42,194,060 ","12,286,129 ","11-20"
"2009","The Princess and the Frog","104,400,899 ","786,190 ","11-25"
"2009","Old Dogs","49,492,060 ","16,894,511 ","11-25"
"2009","Ninja Assassin","38,122,883 ","13,316,158 ","11-25"
"2009","Up in the Air","83,823,381 ","1,181,450 ","12-04"
"2009","Brothers","28,544,157 ","9,527,848 ","12-04"
"2009","The Lovely Bones","44,114,232 ","116,616 ","12-11"
"2009","Invictus","37,491,364 ","8,611,147 ","12-11"
"2009","Crazy Heart","39,464,306 ","82,664 ","12-16"
"2009","Avatar","749,766,139 ","77,025,481 ","12-18"
"2009","Did You Hear About the Morgans?","29,580,087 ","6,616,571 ","12-18"
"2009","Alvin and the Chipmunks: The Squeakquel","219,614,612 ","48,875,415 ","12-23"
"2009","Sherlock Holmes","209,028,679 ","62,304,277 ","12-25"
"2009","It's Complicated","112,735,375 ","22,100,820 ","12-25"
