"year","movies_name","total_gross","opening_week","opening_date"
"1995","Houseguest","26,325,256 ","5,831,302 ","01-06"
"1995","Higher Learning","38,290,723 ","13,276,662 ","01-13"
"1995","Demon Knight","21,089,146 ","10,019,555 ","01-13"
"1995","Murder in the First","17,381,942 ","4,719,188 ","01-20"
"1995","Boys on the Side","23,440,188 ","4,808,873 ","02-03"
"1995","Billy Madison","25,588,734 ","6,639,080 ","02-10"
"1995","The Quick and the Dead","18,636,537 ","6,515,861 ","02-10"
"1995","The Brady Bunch Movie","46,576,136 ","14,827,066 ","02-17"
"1995","Just Cause","36,853,222 ","10,607,932 ","02-17"
"1995","Heavyweights","17,689,177 ","6,062,857 ","02-17"
"1995","Man of the House","40,070,995 ","9,473,317 ","03-03"
"1995","Outbreak","67,659,560 ","13,420,387 ","03-10"
"1995","Muriel's Wedding","15,119,639 ","244,969 ","03-10"
"1995","Circle of Friends","23,389,975 ","125,587 ","03-17"
"1995","Candyman: Farewell to the Flesh","13,940,383 ","6,046,825 ","03-17"
"1995","Major Payne","29,412,050 ","7,011,225 ","03-24"
"1995","Dolores Claiborne","24,361,867 ","5,721,920 ","03-24"
"1995","Tommy Boy","32,679,899 ","8,027,843 ","03-31"
"1995","Bad Boys","65,807,024 ","15,523,358 ","04-07"
"1995","A Goofy Movie","35,348,597 ","6,129,557 ","04-07"
"1995","Rob Roy","31,596,911 ","2,023,272 ","04-07"
"1995","Don Juan de Marco","22,150,451 ","4,556,274 ","04-07"
"1995","Jury Duty","17,014,653 ","4,831,622 ","04-14"
"1995","While You Were Sleeping","81,057,016 ","9,288,915 ","04-21"
"1995","Wings of Courage (IMAX)","15,054,636 ","8,711 ","04-21"
"1995","Kiss of Death","14,942,422 ","5,317,066 ","04-21"
"1995","Friday","27,467,564 ","6,589,341 ","04-28"
"1995","French Kiss","38,896,854 ","9,018,022 ","05-05"
"1995","Crimson Tide","91,387,195 ","18,612,190 ","05-12"
"1995","Die Hard: With A Vengeance","100,012,499 ","22,162,245 ","05-19"
"1995","Forget Paris","33,177,694 ","5,812,656 ","05-19"
"1995","Braveheart","75,609,945 ","9,938,276 ","05-24"
"1995","Casper","100,328,194 ","16,840,385 ","05-26"
"1995","Johnny Mnemonic","19,075,720 ","6,033,850 ","05-26"
"1995","Mad Love","15,453,274 ","6,820,171 ","05-26"
"1995","The Bridges of Madison County","71,516,617 ","10,519,257 ","06-02"
"1995","Congo","81,022,101 ","24,642,539 ","06-09"
