"year","movies_name","total_gross","opening_week","opening_date"
"1983","The House on Sorority Row","10,604,986 ","617,661 ","01-21"
"1983","The Year of Living Dangerously","10,278,575 ","35,000 ","01-21"
"1983","The Entity","13,277,558 ","3,685,654 ","02-04"
"1983","Without a Trace","9,632,062 ","1,609,448 ","02-04"
"1983","The Lords of Discipline","11,787,127 ","3,011,932 ","02-18"
"1983","Lovesick","10,171,304 ","3,093,281 ","02-18"
"1983","The Sting II","6,347,072 ","3,106,108 ","02-18"
"1983","Local Hero","5,895,761 ","23,567 ","02-18"
"1983","My Tutor","22,587,834 ","435,188 ","03-04"
"1983","Tender Mercies","8,443,124 ","46,977 ","03-04"
"1983","10 to Midnight","7,175,592 ","3,050,225 ","03-11"
"1983","The Grey Fox","5,516,140 ","N/A","03-13"
"1983","High Road to China","28,445,927 ","6,156,049 ","03-18"
"1983","The Outsiders","25,697,647 ","5,068,165 ","03-25"
"1983","Spring Break","24,071,666 ","5,908,574 ","03-25"
"1983","Max Dugan Returns","17,613,720 ","2,791,002 ","03-25"
"1983","The Black Stallion Returns","12,049,108 ","2,923,297 ","03-25"
"1983","The Sword in the Stone (Re-issue)","12,000,000 ","2,230,614 ","03-25"
"1983","Raiders of the Lost Ark (Re-issue) (1983)","11,374,454 ","1,327,451 ","03-25"
"1983","Bad Boys (1983)","9,190,819 ","2,171,197 ","03-25"
"1983","Monty Python's The Meaning of Life","14,929,552 ","1,987,853 ","04-01"
"1983","Flashdance","92,921,203 ","4,076,124 ","04-15"
"1983","Lone Wolf McQuade","12,232,628 ","4,295,300 ","04-15"
"1983","Valley Girl","17,343,596 ","1,856,780 ","04-29"
"1983","Something Wicked This Way Comes","8,400,000 ","2,423,555 ","04-29"
"1983","The Hunger","5,979,292 ","1,832,898 ","04-29"
"1983","Cheech & Chong Still Smokin'","15,543,710 ","3,085,705 ","05-06"
"1983","Doctor Detroit","10,375,893 ","3,295,722 ","05-06"
"1983","Porky's (Re-issue)","5,797,190 ","2,139,827 ","05-06"
"1983","Blue Thunder","42,313,354 ","8,258,149 ","05-13"
"1983","Breathless","19,910,002 ","4,384,369 ","05-13"
"1983","Spacehunter: Adventures in the Forbidden Zone","16,478,265 ","7,053,016 ","05-20"
"1983","Return of the Jedi","252,583,617 ","23,019,618 ","05-25"
"1983","Chained Heat","6,149,983 ","2,252,682 ","05-27"
"1983","WarGames","79,567,667 ","6,227,804 ","06-03"
"1983","Psycho II","34,725,000 ","8,310,244 ","06-03"
"1983","The Man with Two Brains","10,353,438 ","3,498,931 ","06-03"
"1983","Trading Places","90,404,800 ","7,348,200 ","06-10"
"1983","Octopussy","67,893,619 ","8,902,564 ","06-10"
"1983","Superman III","59,950,623 ","13,352,357 ","06-17"
"1983","Fanny and Alexander","6,783,304 ","N/A","06-17"
"1983","Porky's II: The Next Day","33,759,266 ","7,054,988 ","06-24"
"1983","Twilight Zone: The Movie","29,450,919 ","6,614,366 ","06-24"
"1983","The Survivors","14,000,000 ","3,044,927 ","06-24"
"1983","Stroker Ace","13,000,000 ","4,668,135 ","07-01"
"1983","Staying Alive","64,892,670 ","12,146,143 ","07-15"
"1983","Snow White and the Seven Dwarfs (Re-issue) (1983)","30,100,000 ","6,017,914 ","07-15"
"1983","Zelig","11,798,616 ","60,119 ","07-15"
"1983","Mr. Mom","64,783,827 ","947,197 ","07-22"
"1983","Jaws 3-D","45,517,055 ","13,422,500 ","07-22"
"1983","Class","21,667,789 ","4,553,233 ","07-22"
"1983","National Lampoon's Vacation","61,399,552 ","8,333,358 ","07-29"
"1983","Krull","16,519,460 ","5,469,415 ","07-29"
"1983","Private School","14,049,540 ","4,411,861 ","07-29"
"1983","Risky Business","63,541,777 ","4,275,327 ","08-05"
"1983","The Star Chamber","5,555,305 ","1,980,105 ","08-05"
"1983","Cujo","21,156,152 ","6,114,899 ","08-12"
