"year","movies_name","total_gross","opening_week","opening_date"
"2016","The Forest","26,594,261 ","12,741,176 ","01-08"
"2016","Ride Along 2","91,221,830 ","35,243,095 ","01-15"
"2016","13 Hours: The Secret Soldiers of Benghazi","52,853,219 ","16,194,738 ","01-15"
"2016","The Boy (2016)","35,819,556 ","10,778,392 ","01-22"
"2016","Dirty Grandpa","35,593,113 ","11,111,875 ","01-22"
"2016","The 5th Wave","34,916,787 ","10,326,356 ","01-22"
"2016","Kung Fu Panda 3","143,528,619 ","41,282,042 ","01-29"
"2016","The Finest Hours","27,569,558 ","10,288,932 ","01-29"
"2016","Hail, Caesar!","30,498,085 ","11,355,225 ","02-05"
"2016","Deadpool","363,070,709 ","132,434,639 ","02-12"
"2016","How to Be Single","46,843,513 ","17,878,911 ","02-12"
"2016","Zoolander 2","28,848,693 ","13,841,146 ","02-12"
"2016","Risen","36,880,033 ","11,801,271 ","02-19"
"2016","The Witch","25,138,705 ","8,800,230 ","02-19"
"2016","Gods of Egypt","31,153,464 ","14,123,903 ","02-26"
"2016","Zootopia","341,268,248 ","75,063,401 ","03-04"
"2016","London Has Fallen","62,678,608 ","21,635,601 ","03-04"
"2016","10 Cloverfield Lane","72,082,998 ","24,727,437 ","03-11"
"2016","Miracles from Heaven","61,705,123 ","14,812,393 ","03-16"
"2016","The Divergent Series: Allegiant","66,184,051 ","29,027,348 ","03-18"
"2016","Batman v Superman: Dawn of Justice","330,360,194 ","166,007,347 ","03-25"
"2016","My Big Fat Greek Wedding 2","59,689,605 ","17,861,950 ","03-25"
"2016","The Boss","63,285,885 ","23,586,645 ","04-08"
"2016","The Jungle Book (2016)","364,001,123 ","103,261,464 ","04-15"
"2016","Barbershop: The Next Cut","54,030,051 ","20,242,415 ","04-15"
"2016","The Huntsman: Winter's War","48,390,190 ","19,445,035 ","04-22"
"2016","Mother's Day","32,492,859 ","8,369,184 ","04-29"
"2016","Captain America: Civil War","408,084,349 ","179,139,142 ","05-06"
"2016","Money Monster","41,012,075 ","14,788,157 ","05-13"
"2016","The Angry Birds Movie","107,509,366 ","38,155,177 ","05-20"
"2016","Neighbors 2: Sorority Rising","55,455,765 ","21,760,405 ","05-20"
"2016","The Nice Guys","36,261,763 ","11,203,270 ","05-20"
"2016","X-Men: Apocalypse","155,442,489 ","65,769,562 ","05-27"
"2016","Alice Through the Looking Glass","77,041,381 ","26,858,726 ","05-27"
"2016","Teenage Mutant Ninja Turtles: Out of the Shadows","82,051,601 ","35,316,382 ","06-03"
"2016","Me Before You","56,245,075 ","18,723,269 ","06-03"
"2016","The Conjuring 2","102,470,008 ","40,406,314 ","06-10"
"2016","Now You See Me 2","65,075,540 ","22,383,146 ","06-10"
"2016","Warcraft","47,365,290 ","24,166,110 ","06-10"
"2016","Finding Dory","486,295,561 ","135,060,273 ","06-17"
"2016","Central Intelligence","127,440,871 ","35,535,250 ","06-17"
"2016","Independence Day: Resurgence","103,144,286 ","41,039,944 ","06-24"
"2016","The Shallows","55,124,043 ","16,800,868 ","06-24"
"2016","The Legend of Tarzan","126,643,061 ","38,527,856 ","07-01"
"2016","The Purge: Election Year","79,213,375 ","31,515,110 ","07-01"
"2016","The BFG","55,483,770 ","18,775,350 ","07-01"
"2016","The Secret Life of Pets","368,384,330 ","104,352,905 ","07-08"
"2016","Mike and Dave Need Wedding Dates","46,009,673 ","16,628,170 ","07-08"
"2016","Ghostbusters (2016)","128,350,574 ","46,018,755 ","07-15"
"2016","Star Trek Beyond","158,848,340 ","59,253,211 ","07-22"
"2016","Lights Out","67,268,835 ","21,688,103 ","07-22"
"2016","Ice Age: Collision Course","64,063,008 ","21,373,064 ","07-22"
"2016","Nerve","38,583,626 ","9,445,456 ","07-27"
"2016","Jason Bourne","162,434,410 ","59,215,365 ","07-29"
"2016","Bad Moms","113,257,297 ","23,817,340 ","07-29"
"2016","Suicide Squad","325,100,054 ","133,682,248 ","08-05"
"2016","Sausage Party","97,685,686 ","34,263,534 ","08-12"
"2016","Pete's Dragon (2016)","76,233,151 ","21,514,095 ","08-12"
"2016","Florence Foster Jenkins","27,383,770 ","6,601,313 ","08-12"
"2016","Hell or High Water","27,007,844 ","621,329 ","08-12"
"2016","Kubo and the Two Strings","48,023,088 ","12,608,372 ","08-19"
"2016","War Dogs","43,034,523 ","14,685,305 ","08-19"
"2016","Ben-Hur (2016)","26,410,477 ","11,203,815 ","08-19"
"2016","Don't Breathe","89,217,875 ","26,411,706 ","08-26"
"2016","Sully","125,070,033 ","35,028,301 ","09-09"
"2016","When the Bough Breaks","29,747,603 ","14,202,323 ","09-09"
"2016","Bridget Jones's Baby","24,252,420 ","8,571,785 ","09-16"
"2016","The Magnificent Seven (2016)","93,432,655 ","34,703,397 ","09-23"
"2016","Storks","72,679,278 ","21,311,407 ","09-23"
"2016","Miss Peregrine's Home for Peculiar Children","87,242,834 ","28,871,140 ","09-30"
"2016","Deepwater Horizon","61,433,527 ","20,223,544 ","09-30"
"2016","The Girl on the Train (2016)","75,395,035 ","24,536,265 ","10-07"
"2016","The Accountant","86,260,045 ","24,710,273 ","10-14"
"2016","Kevin Hart: What Now?","23,591,043 ","11,767,210 ","10-14"
"2016","Boo! A Madea Halloween","73,206,343 ","28,501,448 ","10-21"
"2016","Jack Reacher: Never Go Back","58,697,076 ","22,872,490 ","10-21"
"2016","Ouija: Origin of Evil","35,144,505 ","14,065,500 ","10-21"
"2016","Moonlight (2016)","27,854,932 ","402,075 ","10-21"
"2016","Inferno","34,343,574 ","14,860,425 ","10-28"
"2016","Doctor Strange","232,641,920 ","85,058,311 ","11-04"
"2016","Trolls","153,707,064 ","46,581,142 ","11-04"
"2016","Hacksaw Ridge","67,209,615 ","15,190,758 ","11-04"
"2016","Arrival","100,546,139 ","24,074,047 ","11-11"
"2016","Almost Christmas","42,158,780 ","15,134,235 ","11-11"
"2016","Fantastic Beasts and Where To Find Them","234,037,575 ","74,403,387 ","11-18"
"2016","Manchester by the Sea","47,695,371 ","256,498 ","11-18"
"2016","Moana","248,757,044 ","56,631,401 ","11-23"
"2016","Allied","40,098,064 ","12,701,743 ","11-23"
"2016","Lion","51,738,905 ","123,360 ","11-25"
"2016","La La Land","151,101,803 ","881,104 ","12-09"
"2016","Office Christmas Party","54,767,494 ","16,890,204 ","12-09"
"2016","Rogue One: A Star Wars Story","532,177,324 ","155,081,681 ","12-16"
"2016","Fences","57,682,904 ","129,462 ","12-16"
"2016","Collateral Beauty","31,016,021 ","7,102,085 ","12-16"
"2016","Sing","270,395,425 ","35,258,145 ","12-21"
"2016","Passengers (2016)","100,014,699 ","14,869,736 ","12-21"
"2016","Assassin's Creed","54,647,948 ","10,278,225 ","12-21"
"2016","Patriots Day","31,886,361 ","161,306 ","12-21"
"2016","Why Him?","60,323,786 ","11,002,986 ","12-23"
"2016","Hidden Figures","169,607,287 ","515,499 ","12-25"
