"year","movies_name","total_gross","opening_week","opening_date"
"1981","Scanners (1981)","14,225,876 ","N/A","01-14"
"1981","The Incredible Shrinking Woman","20,259,961 ","4,279,264 ","01-30"
"1981","Fort Apache, The Bronx","29,200,000 ","N/A","02-06"
"1981","The Devil and Max Devlin","16,000,000 ","N/A","02-06"
"1981","My Bloody Valentine (1981)","5,672,031 ","N/A","02-11"
"1981","Eyewitness","6,400,000 ","N/A","02-13"
"1981","The Dogs of War","5,484,132 ","N/A","02-13"
"1981","The Last Metro","3,007,436 ","N/A","02-13"
"1981","Sphinx","2,022,771 ","439,564 ","02-13"
"1981","La Cage aux Folles 2","6,950,125 ","N/A","02-15"
"1981","All Night Long","4,454,295 ","1,392,852 ","03-06"
"1981","Back Roads","11,809,387 ","3,046,339 ","03-13"
"1981","The Funhouse","7,886,857 ","2,765,456 ","03-13"
"1981","Modern Romance","2,863,642 ","18,225 ","03-13"
"1981","The Final Conflict: Omen III","20,471,382 ","5,571,675 ","03-20"
"1981","The Postman Always Rings Twice","12,376,625 ","N/A","03-20"
"1981","Cutter's Way","1,729,274 ","N/A","03-20"
"1981","Thief","11,492,915 ","N/A","03-27"
"1981","Atlantic City","12,729,675 ","N/A","04-03"
"1981","Excalibur","34,967,437 ","4,519,706 ","04-10"
"1981","The Howling","17,985,893 ","N/A","04-10"
"1981","Nighthawks","14,905,359 ","2,525,360 ","04-10"
"1981","Going Ape!","5,504,218 ","N/A","04-10"
"1981","This Is Elvis","2,028,612 ","429,146 ","04-10"
"1981","From Mao to Mozart","1,205,934 ","N/A","04-10"
"1981","Caveman","15,965,924 ","N/A","04-17"
"1981","The Hand","2,447,576 ","566,736 ","04-24"
"1981","Friday the 13th Part 2","21,722,776 ","6,429,784 ","04-30"
"1981","King of the Mountain","1,791,147 ","958,637 ","05-01"
"1981","Take This Job and Shove It","17,569,027 ","N/A","05-15"
"1981","The Fan (1981)","3,082,096 ","N/A","05-15"
"1981","The Four Seasons","50,427,646 ","4,365,643 ","05-22"
"1981","Bustin' Loose","31,261,269 ","6,622,753 ","05-22"
"1981","Outland","17,374,595 ","3,059,638 ","05-22"
"1981","The Legend of the Lone Ranger","12,617,845 ","2,945,600 ","05-22"
"1981","Raiders of the Lost Ark","212,222,025 ","8,305,823 ","06-12"
"1981","Clash of the Titans (1981)","41,092,328 ","N/A","06-12"
"1981","History of the World, Part I","31,672,907 ","4,792,731 ","06-12"
"1981","Superman II","108,185,706 ","14,100,523 ","06-19"
"1981","The Cannonball Run","72,179,579 ","11,765,654 ","06-19"
"1981","Stripes","85,297,000 ","6,130,197 ","06-26"
"1981","For Your Eyes Only","54,812,802 ","6,834,967 ","06-26"
"1981","The Great Muppet Caper","31,206,251 ","2,968,990 ","06-26"
"1981","Dragonslayer","14,110,013 ","2,407,939 ","06-26"
"1981","S.O.B.","14,867,086 ","N/A","07-01"
"1981","The Fox and the Hound","39,900,000 ","N/A","07-10"
"1981","Escape from New York","25,244,626 ","N/A","07-10"
"1981","Arthur","95,461,682 ","2,719,534 ","07-17"
"1981","Endless Love","31,184,024 ","4,163,623 ","07-17"
"1981","Gas","2,869,425 ","N/A","07-23"
"1981","Tarzan, the Ape Man","36,565,280 ","N/A","07-24"
"1981","Eye of the Needle","17,583,634 ","N/A","07-24"
"1981","Blow Out","12,000,000 ","N/A","07-24"
"1981","Wolfen","10,626,725 ","3,037,911 ","07-24"
"1981","Under the Rainbow","18,826,490 ","2,297,493 ","07-31"
"1981","Victory","10,853,418 ","N/A","07-31"
"1981","The Night the Lights Went Out in Georgia","14,923,752 ","N/A","08-07"
"1981","Student Bodies","5,165,432 ","1,582,148 ","08-07"
"1981","Deadly Blessing","8,279,042 ","N/A","08-14"
"1981","Prince of the City","8,124,257 ","64,713 ","08-19"
"1981","An American Werewolf in London","30,565,292 ","3,786,512 ","08-21"
"1981","First Monday in October","12,480,249 ","N/A","08-21"
"1981","Honky Tonk Freeway","2,004,742 ","939,423 ","08-21"
"1981","Private Lessons","26,279,000 ","1,056,158 ","08-28"
"1981","Body Heat","24,058,838 ","564,593 ","08-28"
"1981","Gallipoli","5,732,587 ","N/A","08-28"
"1981","Night School","1,169,875 ","N/A","09-11"
"1981","The French Lieutenant's Woman","26,890,068 ","N/A","09-18"
"1981","Mommie Dearest","19,032,261 ","N/A","09-18"
"1981","Continental Divide","15,578,237 ","3,218,347 ","09-18"
"1981","Raggedy Man","1,976,198 ","287,081 ","09-18"
"1981","Only When I Laugh","25,524,778 ","N/A","09-23"
"1981","Chariots of Fire","58,972,904 ","68,907 ","09-25"
"1981","True Confessions","12,850,276 ","N/A","09-25"
