"year","movies_name","total_gross","opening_week","opening_date"
"1993","Alive","36,733,909 ","8,624,292 ","01-15"
"1993","Nowhere to Run","22,189,039 ","8,203,255 ","01-15"
"1993","Body of Evidence","13,273,595 ","7,365,429 ","01-15"
"1993","Sniper","18,994,653 ","5,715,435 ","01-29"
"1993","Sommersby","50,081,992 ","8,104,624 ","02-05"
"1993","Homeward Bound: The Incredible Journey","41,833,324 ","60,672 ","02-05"
"1993","Loaded Weapon 1","27,979,399 ","9,202,722 ","02-05"
"1993","The Vanishing","14,543,394 ","5,009,928 ","02-05"
"1993","Groundhog Day","70,906,973 ","12,517,672 ","02-12"
"1993","Untamed Heart","18,898,806 ","4,125,556 ","02-12"
"1993","Strictly Ballroom","11,738,022 ","145,977 ","02-12"
"1993","Like Water for Chocolate","21,665,468 ","23,600 ","02-19"
"1993","Falling Down","40,903,593 ","8,724,452 ","02-26"
"1993","Fire in the Sky","19,885,552 ","6,116,484 ","03-12"
"1993","CB4","17,953,778 ","6,122,450 ","03-12"
"1993","A Far Off Place","12,890,752 ","3,522,836 ","03-12"
"1993","Teenage Mutant Ninja Turtles III","42,273,609 ","12,419,597 ","03-19"
"1993","Point of No Return","30,038,362 ","7,160,389 ","03-19"
"1993","Born Yesterday","17,952,857 ","5,911,343 ","03-26"
"1993","Cop and a Half","31,889,691 ","6,027,285 ","04-02"
"1993","The Adventures of Huck Finn","24,103,594 ","5,033,029 ","04-02"
"1993","The Crush","13,609,396 ","5,024,976 ","04-02"
"1993","Indecent Proposal","106,614,059 ","18,387,632 ","04-09"
"1993","The Sandlot","32,434,006 ","4,918,712 ","04-09"
"1993","Sidekicks","17,180,393 ","250,003 ","04-09"
"1993","Benny and Joon","23,261,580 ","3,285,063 ","04-16"
"1993","Indian Summer","14,904,910 ","3,368,711 ","04-23"
"1993","Dave","63,270,710 ","7,306,755 ","05-07"
"1993","Dragon: The Bruce Lee Story","35,113,743 ","10,019,970 ","05-07"
"1993","Much Ado About Nothing","22,549,338 ","108,617 ","05-07"
"1993","Posse","18,289,763 ","5,311,902 ","05-14"
"1993","Hot Shots! Part Deux","38,922,972 ","10,250,661 ","05-21"
"1993","Sliver","36,300,000 ","12,138,283 ","05-21"
"1993","Cliffhanger","84,049,211 ","16,176,967 ","05-28"
"1993","Made in America","44,942,695 ","11,821,326 ","05-28"
"1993","Menace II Society","27,912,072 ","3,816,393 ","05-28"
"1993","Super Mario Bros.","20,915,465 ","8,532,623 ","05-28"
"1993","Guilty as Sin","22,866,222 ","5,713,708 ","06-04"
"1993","Life with Mikey","12,440,858 ","3,606,279 ","06-04"
"1993","Jurassic Park","357,067,947 ","47,026,828 ","06-11"
"1993","What's Love Got to Do with It","39,100,956 ","1,222,718 ","06-11"
"1993","Last Action Hero","50,016,394 ","15,338,241 ","06-18"
"1993","Sleepless in Seattle","126,680,884 ","17,253,733 ","06-25"
"1993","Dennis the Menace","51,270,765 ","9,331,139 ","06-25"
"1993","The Firm","158,348,367 ","25,400,000 ","07-02"
"1993","Snow White and the Seven Dwarfs (Re-issue) (1993)","41,634,471 ","9,018,121 ","07-02"
"1993","Son-in-Law","36,448,400 ","7,033,310 ","07-02"
"1993","In the Line of Fire","102,314,823 ","15,269,388 ","07-09"
"1993","Rookie of the Year","53,615,089 ","9,122,714 ","07-09"
"1993","Weekend at Bernie's II","12,741,891 ","4,004,668 ","07-09"
"1993","Free Willy","77,698,625 ","7,868,829 ","07-16"
"1993","Hocus Pocus","39,514,713 ","8,125,471 ","07-16"
"1993","Poetic Justice","27,515,786 ","11,728,455 ","07-23"
"1993","Coneheads","21,274,717 ","7,100,501 ","07-23"
"1993","Another Stakeout","20,208,496 ","5,418,316 ","07-23"
"1993","Rising Sun","63,179,523 ","15,195,941 ","07-30"
"1993","Robin Hood: Men in Tights","35,739,755 ","6,841,830 ","07-30"
"1993","So I Married an Axe Murderer","11,585,483 ","3,466,930 ","07-30"
"1993","The Fugitive","183,875,760 ","23,758,855 ","08-06"
"1993","The Secret Garden","31,181,347 ","4,625,583 ","08-13"
"1993","Heart and Souls","16,589,540 ","4,322,250 ","08-13"
"1993","Jason Goes to Hell: The Final Friday","15,935,068 ","7,552,190 ","08-13"
"1993","Hard Target","32,589,677 ","10,106,500 ","08-20"
"1993","The Man Without a Face","24,760,338 ","4,026,775 ","08-27"
"1993","Needful Things","15,185,672 ","5,202,478 ","08-27"
"1993","The Joy Luck Club","32,901,136 ","159,009 ","09-10"
"1993","Undercover Blues","12,324,660 ","4,379,488 ","09-10"
"1993","True Romance","12,281,551 ","4,023,420 ","09-10"
"1993","The Age of Innocence","32,255,440 ","2,317,289 ","09-17"
"1993","Striking Distance","24,107,867 ","8,705,808 ","09-17"
"1993","The Good Son","44,789,789 ","12,520,305 ","09-24"
"1993","The Program","23,032,565 ","6,821,931 ","09-24"
"1993","Cool Runnings","68,856,263 ","7,046,648 ","10-01"
"1993","Malice","46,405,336 ","9,232,650 ","10-01"
"1993","A Bronx Tale","17,287,898 ","3,716,456 ","10-01"
"1993","Demolition Man","58,055,768 ","14,262,432 ","10-08"
"1993","Tim Burton's The Nightmare Before Christmas","50,003,043 ","191,232 ","10-15"
"1993","The Beverly Hillbillies","44,029,386 ","9,525,375 ","10-15"
"1993","Rudy","22,750,363 ","881,191 ","10-15"
"1993","Judgment Night","12,526,677 ","4,088,955 ","10-15"
"1993","The Remains of the Day","23,237,911 ","1,528,982 ","11-05"
"1993","The Three Musketeers (1993)","53,898,845 ","10,621,992 ","11-12"
"1993","The Piano","40,157,856 ","151,419 ","11-12"
"1993","Carlito's Way","36,948,322 ","9,116,675 ","11-12"
"1993","My Life","27,804,899 ","5,536,098 ","11-12"
"1993","Addams Family Values","48,919,043 ","14,117,545 ","11-19"
"1993","Man's Best Friend","12,974,636 ","3,861,079 ","11-19"
"1993","Mrs. Doubtfire","219,195,243 ","20,468,847 ","11-24"
"1993","A Perfect World","31,130,999 ","8,075,582 ","11-24"
"1993","Sister Act 2: Back in the Habit","57,319,029 ","7,569,219 ","12-10"
"1993","Wayne's World 2","48,197,805 ","13,516,699 ","12-10"
"1993","Geronimo: An American Legend","18,635,620 ","4,018,452 ","12-10"
"1993","Schindler's List","96,065,768 ","656,636 ","12-15"
"1993","The Pelican Brief","100,768,056 ","16,864,404 ","12-17"
"1993","Beethoven's 2nd","53,443,066 ","6,017,225 ","12-17"
"1993","Philadelphia","77,446,440 ","143,433 ","12-24"
"1993","Tombstone","56,505,065 ","6,454,752 ","12-24"
"1993","Grumpy Old Men","70,172,621 ","3,874,911 ","12-25"
"1993","Shadowlands","25,842,377 ","81,082 ","12-31"
"1993","In the Name of the Father","25,096,862 ","109,805 ","12-31"
