"year","movies_name","total_gross","opening_week","opening_date"
"2017","Underworld: Blood Wars","30,353,973 ","13,688,751 ","01-06"
"2017","Monster Trucks","33,370,166 ","10,950,705 ","01-13"
"2017","The Bye Bye Man","22,395,806 ","13,501,349 ","01-13"
"2017","Split","138,291,365 ","40,010,975 ","01-20"
"2017","xXx: The Return of Xander Cage","44,898,413 ","20,130,142 ","01-20"
"2017","A Dog's Purpose","64,508,620 ","18,222,810 ","01-27"
"2017","Resident Evil: The Final Chapter","26,830,068 ","13,601,682 ","01-27"
"2017","Rings","27,793,018 ","13,002,632 ","02-03"
"2017","The LEGO Batman Movie","175,750,384 ","53,003,468 ","02-10"
"2017","Fifty Shades Darker","114,581,250 ","46,607,250 ","02-10"
"2017","John Wick: Chapter Two","92,029,184 ","30,436,123 ","02-10"
"2017","The Great Wall","45,540,830 ","18,469,620 ","02-17"
"2017","Fist Fight","32,187,017 ","12,201,873 ","02-17"
"2017","Get Out","176,040,665 ","33,377,060 ","02-24"
"2017","Logan (2017)","226,277,068 ","88,411,916 ","03-03"
"2017","The Shack","57,386,418 ","16,172,119 ","03-03"
"2017","Kong: Skull Island","168,052,812 ","61,025,472 ","03-10"
"2017","Beauty and the Beast (2017)","504,014,165 ","174,750,616 ","03-17"
"2017","Power Rangers (2017)","85,364,450 ","40,300,288 ","03-24"
"2017","Life (2017)","30,234,022 ","12,501,936 ","03-24"
"2017","The Boss Baby","175,003,033 ","50,198,902 ","03-31"
"2017","Ghost in the Shell (2017)","40,563,557 ","18,676,033 ","03-31"
"2017","Smurfs: The Lost Village","45,020,282 ","13,210,449 ","04-07"
"2017","Going in Style (2017)","45,018,541 ","11,932,330 ","04-07"
"2017","Gifted","24,801,212 ","446,380 ","04-07"
"2017","The Fate of the Furious","226,008,385 ","98,786,705 ","04-14"
"2017","How to be a Latin Lover","32,149,404 ","12,252,439 ","04-28"
"2017","Guardians of the Galaxy Vol. 2","389,813,101 ","146,510,104 ","05-05"
"2017","Snatched","45,852,178 ","19,542,248 ","05-12"
"2017","King Arthur: Legend of the Sword","39,175,066 ","15,371,270 ","05-12"
"2017","Alien: Covenant","74,262,031 ","36,160,621 ","05-19"
"2017","Everything, Everything","34,121,140 ","11,727,390 ","05-19"
"2017","Baywatch","58,060,186 ","18,503,871 ","05-25"
"2017","Pirates of the Caribbean: Dead Men Tell No Tales","172,558,876 ","62,983,253 ","05-26"
"2017","Wonder Woman","412,563,408 ","103,251,471 ","06-02"
"2017","Captain Underpants: The First Epic Movie","73,921,000 ","23,851,539 ","06-02"
"2017","The Mummy (2017)","80,227,895 ","31,688,375 ","06-09"
"2017","Cars 3","152,901,115 ","53,688,680 ","06-16"
"2017","All Eyez on Me","44,922,302 ","26,435,354 ","06-16"
"2017","47 Meters Down","44,307,192 ","11,205,561 ","06-16"
"2017","Rough Night","22,105,643 ","8,004,283 ","06-16"
"2017","Transformers: The Last Knight","130,168,683 ","44,680,073 ","06-21"
"2017","The Big Sick","42,873,127 ","421,577 ","06-23"
"2017","Baby Driver","107,825,862 ","20,553,320 ","06-28"
"2017","Despicable Me 3","264,624,300 ","72,434,025 ","06-30"
"2017","The House","25,584,504 ","8,724,795 ","06-30"
"2017","Spider-Man: Homecoming","334,201,140 ","117,027,503 ","07-07"
"2017","War for the Planet of the Apes","146,880,162 ","56,262,929 ","07-14"
"2017","Dunkirk","188,045,546 ","50,513,488 ","07-21"
"2017","Girls Trip","115,171,585 ","31,201,920 ","07-21"
"2017","Valerian and the City of a Thousand Planets","41,189,488 ","17,007,624 ","07-21"
"2017","The Emoji Movie","86,089,513 ","24,531,923 ","07-28"
"2017","Atomic Blonde","51,687,870 ","18,286,420 ","07-28"
"2017","The Dark Tower","50,701,325 ","19,153,698 ","08-04"
"2017","Wind River","33,800,859 ","161,558 ","08-04"
"2017","Kidnap (2017)","30,718,107 ","10,016,323 ","08-04"
"2017","Annabelle: Creation","102,092,201 ","35,006,404 ","08-11"
"2017","The Nut Job 2: Nutty by Nature","28,370,522 ","8,342,311 ","08-11"
"2017","The Hitman's Bodyguard","75,468,583 ","21,384,504 ","08-18"
"2017","Logan Lucky","27,780,977 ","7,600,036 ","08-18"
"2017","Leap!","21,858,070 ","4,730,038 ","08-25"
"2017","It","327,481,748 ","123,403,419 ","09-08"
"2017","Home Again","27,020,284 ","8,567,881 ","09-08"
"2017","American Assassin","36,249,674 ","14,846,778 ","09-15"
"2017","Kingsman: The Golden Circle","100,234,838 ","39,023,010 ","09-22"
"2017","The LEGO Ninjago Movie","59,281,555 ","20,433,071 ","09-22"
"2017","Victoria and Abdul","22,245,070 ","158,845 ","09-22"
"2017","American Made","51,342,000 ","16,776,390 ","09-29"
"2017","Blade Runner 2049","92,054,159 ","32,753,122 ","10-06"
"2017","The Mountain Between Us","30,348,555 ","10,551,336 ","10-06"
"2017","My Little Pony: The Movie","21,885,107 ","8,885,899 ","10-06"
"2017","Happy Death Day","55,683,845 ","26,039,025 ","10-13"
"2017","The Foreigner","34,393,507 ","13,113,024 ","10-13"
"2017","Tyler Perry's Boo 2! A Madea Halloween","47,319,572 ","21,226,953 ","10-20"
"2017","Geostorm","33,700,160 ","13,707,376 ","10-20"
"2017","Jigsaw","38,052,832 ","16,640,452 ","10-27"
"2017","A Bad Moms Christmas","72,110,659 ","16,759,161 ","11-01"
"2017","Thor: Ragnarok","315,058,289 ","122,744,989 ","11-03"
"2017","Lady Bird","48,958,273 ","364,437 ","11-03"
"2017","Daddy's Home 2","104,029,443 ","29,651,193 ","11-10"
"2017","Murder on the Orient Express (2017)","102,826,543 ","28,681,472 ","11-10"
"2017","Three Billboards Outside Ebbing, Missouri","54,513,740 ","322,168 ","11-10"
"2017","Justice League","229,024,295 ","93,842,239 ","11-17"
"2017","Wonder","132,422,809 ","27,547,866 ","11-17"
"2017","The Star","40,852,824 ","9,812,674 ","11-17"
"2017","Coco","209,726,015 ","50,802,605 ","11-22"
"2017","Darkest Hour","56,468,410 ","175,006 ","11-22"
"2017","The Shape of Water","63,859,435 ","166,564 ","12-01"
"2017","The Disaster Artist","21,120,616 ","1,211,345 ","12-01"
"2017","I, Tonya","30,014,539 ","264,155 ","12-08"
"2017","Star Wars: The Last Jedi","620,181,382 ","220,009,584 ","12-15"
"2017","Ferdinand","84,410,380 ","13,401,586 ","12-15"
"2017","Jumanji: Welcome to the Jungle","404,515,480 ","36,169,328 ","12-20"
"2017","The Greatest Showman","174,340,174 ","8,805,843 ","12-20"
"2017","Pitch Perfect 3","104,897,530 ","19,928,525 ","12-22"
"2017","The Post","81,903,458 ","526,011 ","12-22"
"2017","Hostiles","29,819,114 ","22,849 ","12-22"
"2017","Downsizing","24,449,754 ","4,954,287 ","12-22"
"2017","Molly's Game","28,780,744 ","2,349,967 ","12-25"
"2017","All the Money in the World","25,113,707 ","5,584,684 ","12-25"
