"year","movies_name","total_gross","opening_week","opening_date"
"1984","Hot Dog... The Movie","20,307,325 ","4,506,756 ","01-13"
"1984","Angel","17,488,564 ","2,214,824 ","01-13"
"1984","Broadway Danny Rose","10,600,497 ","953,794 ","01-27"
"1984","Weekend Pass","21,058,033 ","1,451,676 ","02-03"
"1984","Reckless","8,289,916 ","2,446,016 ","02-03"
"1984","Unfaithfully Yours (1984)","19,928,200 ","3,774,126 ","02-10"
"1984","Footloose","80,035,402 ","8,556,935 ","02-17"
"1984","Blame It on Rio","18,644,570 ","3,437,660 ","02-17"
"1984","Lassiter","17,513,452 ","5,027,583 ","02-17"
"1984","Against All Odds","21,689,062 ","3,766,128 ","03-02"
"1984","Splash","69,821,334 ","6,174,059 ","03-09"
"1984","Children of the Corn","14,568,989 ","2,042,821 ","03-09"
"1984","Ice Pirates","14,255,801 ","4,358,022 ","03-16"
"1984","Tank","11,302,884 ","4,035,960 ","03-16"
"1984","Police Academy","81,198,894 ","8,570,007 ","03-23"
"1984","Romancing the Stone","76,572,238 ","5,105,741 ","03-30"
"1984","Greystoke: The Legend of Tarzan","45,858,563 ","6,517,732 ","03-30"
"1984","The Gods Must Be Crazy","30,031,783 ","231,693 ","04-06"
"1984","Moscow on the Hudson","25,068,724 ","3,536,687 ","04-06"
"1984","Up the Creek","11,708,269 ","3,210,882 ","04-06"
"1984","Hard to Hold","11,113,806 ","3,410,001 ","04-06"
"1984","Where the Boys Are (1984)","10,530,000 ","3,665,088 ","04-06"
"1984","Friday the 13th: Final Chapter","32,980,880 ","11,183,148 ","04-13"
"1984","Iceman","7,343,032 ","1,836,120 ","04-13"
"1984","Swing Shift","6,650,206 ","2,270,136 ","04-13"
"1984","Breakin'","38,682,707 ","6,047,686 ","05-04"
"1984","Sixteen Candles","23,686,027 ","4,461,520 ","05-04"
"1984","The Bounty","8,613,462 ","2,622,306 ","05-04"
"1984","Hardbodies","7,121,719 ","2,684,599 ","05-04"
"1984","Alphabet City","7,035,585 ","1,172,292 ","05-04"
"1984","The Natural","47,951,979 ","5,088,381 ","05-11"
"1984","Firestarter","17,080,167 ","4,726,660 ","05-11"
"1984","Indiana Jones and the Temple of Doom","179,870,271 ","25,337,110 ","05-23"
"1984","Star Trek III: The Search for Spock","76,471,046 ","16,673,295 ","06-01"
"1984","Streets of Fire","8,089,290 ","2,426,500 ","06-01"
"1984","Ghostbusters","229,242,989 ","13,578,151 ","06-08"
"1984","Gremlins","148,168,459 ","12,511,634 ","06-08"
"1984","Beat Street","16,595,791 ","5,218,040 ","06-08"
"1984","The Karate Kid","90,815,558 ","5,031,753 ","06-22"
"1984","Rhinestone","21,435,321 ","5,459,726 ","06-22"
"1984","Top Secret!","20,458,340 ","4,406,205 ","06-22"
"1984","The Pope of Greenwich Village","6,836,201 ","1,544,624 ","06-22"
"1984","Bachelor Party","38,435,947 ","4,573,530 ","06-29"
"1984","Conan the Destroyer","31,042,035 ","6,958,872 ","06-29"
"1984","Cannonball Run II","28,078,073 ","8,323,948 ","06-29"
"1984","The Last Starfighter","28,733,290 ","6,011,695 ","07-13"
"1984","The Muppets Take Manhattan","25,534,703 ","4,416,022 ","07-13"
"1984","Revenge of the Nerds","40,874,452 ","1,513,090 ","07-20"
"1984","The Neverending Story","20,158,808 ","4,325,823 ","07-20"
"1984","Best Defense","19,265,302 ","7,872,297 ","07-20"
"1984","Purple Rain","68,392,977 ","7,766,201 ","07-27"
"1984","The Jungle Book (re-issue) (1984)","23,456,945 ","5,291,670 ","07-27"
"1984","The Philadelphia Experiment","8,103,330 ","1,877,000 ","08-03"
"1984","Red Dawn (1984)","38,376,497 ","8,230,381 ","08-10"
"1984","Cloak and Dagger","9,719,952 ","2,862,025 ","08-10"
"1984","Tightrope","48,143,579 ","9,156,545 ","08-17"
"1984","The Woman in Red","25,308,147 ","3,159,811 ","08-17"
"1984","Dreamscape","12,145,169 ","2,257,627 ","08-17"
"1984","Oxford Blues","8,793,152 ","2,486,418 ","08-24"
"1984","Bolero","8,914,881 ","4,579,240 ","08-31"
"1984","A Soldier's Story","21,821,347 ","156,383 ","09-14"
"1984","Ninja 3: The Domination","7,610,785 ","1,727,546 ","09-14"
"1984","Amadeus","51,564,280 ","505,276 ","09-21"
"1984","All of Me","36,403,064 ","5,803,848 ","09-21"
"1984","Places in the Heart","34,901,614 ","274,279 ","09-21"
"1984","The Evil That Men Do","13,102,025 ","4,538,400 ","09-21"
"1984","Irreconcilable Differences","12,414,210 ","3,076,894 ","09-28"
"1984","The Wild Life","11,020,375 ","4,001,400 ","09-28"
"1984","Country","9,640,000 ","24,443 ","09-28"
"1984","Teachers","27,774,237 ","7,013,366 ","10-05"
"1984","Thief of Hearts","10,435,015 ","3,091,670 ","10-19"
