"year","movies_name","total_gross","opening_week","opening_date"
"1994","The Air Up There","21,011,318 ","5,240,859 ","01-07"
"1994","Iron Will","21,006,361 ","5,313,406 ","01-14"
"1994","House Party 3","19,281,235 ","6,850,010 ","01-14"
"1994","Intersection","21,355,893 ","7,818,502 ","01-21"
"1994","Blink","16,696,219 ","4,410,077 ","01-28"
"1994","Ace Ventura: Pet Detective","72,217,396 ","12,115,105 ","02-04"
"1994","My Father, the Hero","25,479,558 ","5,645,251 ","02-04"
"1994","Blank Check","30,577,969 ","5,411,897 ","02-11"
"1994","My Girl 2","17,359,799 ","5,012,295 ","02-11"
"1994","The Getaway (1994)","16,094,974 ","5,806,515 ","02-11"
"1994","On Deadly Ground","38,590,458 ","12,679,573 ","02-18"
"1994","Blue Chips","23,070,663 ","10,123,605 ","02-18"
"1994","Reality Bites","20,982,557 ","5,113,050 ","02-18"
"1994","8 Seconds","19,623,396 ","3,369,037 ","02-25"
"1994","Sugar Hill","18,225,518 ","5,712,485 ","02-25"
"1994","Greedy","13,137,484 ","4,805,115 ","03-04"
"1994","Four Weddings and a Funeral","52,700,832 ","138,486 ","03-11"
"1994","Guarding Tess","27,058,304 ","7,065,213 ","03-11"
"1994","Lightning Jack","16,821,273 ","5,401,743 ","03-11"
"1994","The Naked Gun 33 1/3: The Final Insult","51,132,598 ","13,216,531 ","03-18"
"1994","The Paper","38,824,341 ","175,507 ","03-18"
"1994","Monkey Trouble","16,453,258 ","4,523,597 ","03-18"
"1994","D2: The Mighty Ducks","45,610,410 ","10,356,748 ","03-25"
"1994","Above the Rim","16,192,320 ","3,738,800 ","03-25"
"1994","Major League II","30,626,182 ","7,040,777 ","04-01"
"1994","Threesome","14,815,317 ","4,001,024 ","04-08"
"1994","Bad Girls","15,240,435 ","5,012,200 ","04-22"
"1994","When a Man Loves a Woman","50,021,959 ","651,700 ","04-29"
"1994","With Honors","20,016,254 ","4,328,543 ","04-29"
"1994","No Escape","15,339,030 ","4,588,736 ","04-29"
"1994","3 Ninjas Kick Back","11,798,854 ","3,556,310 ","05-06"
"1994","The Crow","50,693,129 ","11,774,332 ","05-13"
"1994","Crooklyn","13,642,861 ","4,209,475 ","05-13"
"1994","Maverick","101,631,272 ","17,248,545 ","05-20"
"1994","Beverly Hills Cop III","42,614,912 ","12,426,169 ","05-25"
"1994","The Flintstones","130,531,208 ","29,688,730 ","05-27"
"1994","Renaissance Man","24,332,324 ","5,557,590 ","06-03"
"1994","The Cowboy Way","20,280,016 ","5,048,640 ","06-03"
"1994","Speed","121,248,145 ","14,456,194 ","06-10"
"1994","City Slickers II: The Legend of Curly's Gold","43,622,150 ","11,516,375 ","06-10"
"1994","The Lion King","312,855,561 ","1,586,753 ","06-15"
"1994","Wolf","65,002,597 ","17,911,366 ","06-17"
"1994","Getting Even With Dad","18,869,594 ","5,579,480 ","06-17"
"1994","Wyatt Earp","25,052,000 ","7,543,504 ","06-24"
"1994","The Shadow","32,063,435 ","11,713,845 ","07-01"
"1994","I Love Trouble","30,806,194 ","7,827,002 ","07-01"
"1994","Blown Away","30,156,002 ","10,424,873 ","07-01"
"1994","Baby's Day Out","16,827,402 ","4,044,662 ","07-01"
"1994","Little Big League","12,267,790 ","3,105,618 ","07-01"
"1994","Forrest Gump","329,694,499 ","24,450,602 ","07-06"
"1994","True Lies","146,282,411 ","25,869,770 ","07-15"
"1994","Angels in the Outfield (1994)","50,236,831 ","8,916,463 ","07-15"
"1994","The Client","92,115,211 ","17,174,262 ","07-22"
"1994","The Mask","119,938,730 ","23,117,068 ","07-29"
"1994","It Could Happen to You","37,939,757 ","8,112,822 ","07-29"
"1994","Clear and Present Danger","122,187,717 ","20,348,017 ","08-05"
"1994","The Little Rascals","52,125,282 ","10,028,065 ","08-05"
"1994","In the Army Now","28,881,266 ","6,367,194 ","08-12"
"1994","Corrina, Corrina","20,164,171 ","3,811,258 ","08-12"
"1994","Color of Night","19,726,050 ","6,610,488 ","08-19"
"1994","Andre","16,820,893 ","4,020,760 ","08-19"
"1994","Natural Born Killers","50,282,766 ","11,166,687 ","08-26"
"1994","Milk Money","18,137,661 ","5,846,533 ","09-02"
"1994","Timecop","44,853,581 ","12,064,625 ","09-16"
"1994","Quiz Show","24,822,619 ","757,714 ","09-16"
"1994","The Shawshank Redemption","28,341,469 ","727,327 ","09-23"
"1994","Terminal Velocity","16,487,349 ","5,500,404 ","09-23"
"1994","The River Wild","46,816,343 ","10,214,450 ","09-30"
"1994","Jason's Lyric","20,851,521 ","5,122,600 ","09-30"
"1994","The Specialist","57,362,582 ","14,317,765 ","10-07"
"1994","Only You","20,059,210 ","5,711,738 ","10-07"
"1994","Pulp Fiction","107,928,762 ","9,311,882 ","10-14"
"1994","Little Giants","19,306,362 ","4,778,029 ","10-14"
"1994","Wes Craven's New Nightmare","18,090,181 ","6,667,118 ","10-14"
"1994","Love Affair","18,272,894 ","5,438,758 ","10-21"
"1994","Bullets Over Broadway","13,383,747 ","86,072 ","10-21"
"1994","Stargate","71,567,262 ","16,651,018 ","10-28"
"1994","Mary Shelley's Frankenstein","22,006,296 ","11,212,889 ","11-04"
"1994","The War","16,928,556 ","5,203,275 ","11-04"
"1994","The Santa Clause","144,833,357 ","19,321,992 ","11-11"
"1994","Interview with the Vampire","105,264,608 ","36,389,705 ","11-11"
"1994","Star Trek: Generations","75,671,125 ","23,116,394 ","11-18"
"1994","The Professional","19,501,238 ","5,306,558 ","11-18"
"1994","Miracle on 34th Street (1994)","17,320,136 ","2,753,208 ","11-18"
"1994","Junior","36,763,355 ","9,803,145 ","11-23"
"1994","The Pagemaster","13,670,688 ","4,188,399 ","11-23"
"1994","A Low Down Dirty Shame","29,392,418 ","7,970,574 ","11-25"
"1994","Disclosure","83,015,089 ","10,068,126 ","12-09"
"1994","Drop Zone","28,735,315 ","6,143,566 ","12-09"
"1994","Dumb and Dumber","127,175,374 ","16,363,442 ","12-16"
"1994","Nell","33,683,817 ","62,663 ","12-16"
"1994","Speechless","20,667,959 ","3,969,048 ","12-16"
"1994","Little Women (1994)","50,083,616 ","2,411,247 ","12-21"
"1994","Richie Rich","38,087,756 ","5,830,302 ","12-21"
"1994","Legends of the Fall","66,638,883 ","101,670 ","12-23"
"1994","Nobody's Fool","39,491,975 ","92,838 ","12-23"
"1994","Street Fighter","33,423,521 ","6,859,495 ","12-23"
"1994","The Jungle Book (1994)","43,229,904 ","5,129,959 ","12-25"
"1994","I.Q.","26,381,221 ","3,131,201 ","12-25"
"1994","The Madness of King George","15,238,689 ","65,226 ","12-30"
