"year","movies_name","total_gross","opening_week","opening_date"
"1986","Black Moon Rising","6,637,565 ","2,775,388 ","01-10"
"1986","Iron Eagle","24,159,872 ","6,104,754 ","01-17"
"1986","Down and Out in Beverly Hills","62,134,225 ","5,726,495 ","01-31"
"1986","Youngblood","15,448,384 ","4,183,292 ","01-31"
"1986","The Best of Times","7,790,931 ","2,419,800 ","01-31"
"1986","Hannah and Her Sisters","35,392,203 ","1,265,826 ","02-07"
"1986","F/X","20,603,715 ","3,240,695 ","02-07"
"1986","Wildcats","26,285,544 ","5,472,905 ","02-14"
"1986","The Delta Force","17,768,900 ","5,959,505 ","02-14"
"1986","Quicksilver","7,634,909 ","3,170,215 ","02-14"
"1986","9 1/2 Weeks","6,735,922 ","328,804 ","02-21"
"1986","The Hitcher","5,844,868 ","2,134,214 ","02-21"
"1986","Pretty in Pink","40,471,663 ","6,065,870 ","02-28"
"1986","House","19,444,631 ","5,923,972 ","02-28"
"1986","A Room with a View","20,966,644 ","42,970 ","03-07"
"1986","Sleeping Beauty (Re-issue)","15,120,195 ","2,548,698 ","03-07"
"1986","The Care Bears Movie 2","8,540,346 ","2,489,750 ","03-07"
"1986","Highlander","5,900,000 ","2,453,021 ","03-07"
"1986","Gung Ho","36,611,610 ","7,170,830 ","03-14"
"1986","Police Academy 3: Back in Training","43,579,163 ","9,049,586 ","03-21"
"1986","Just Between Friends","6,408,791 ","1,390,718 ","03-21"
"1986","The Money Pit","37,499,651 ","5,344,555 ","03-28"
"1986","April Fool's Day","12,947,763 ","3,373,779 ","03-28"
"1986","Lucas","8,200,000 ","1,250,101 ","03-28"
"1986","Critters","13,167,232 ","1,618,800 ","04-11"
"1986","Legend","15,502,112 ","4,261,154 ","04-18"
"1986","Murphy's Law","9,947,631 ","3,388,907 ","04-18"
"1986","Wise Guys","8,475,466 ","1,324,456 ","04-18"
"1986","Jo Jo Dancer, Your Life is Calling","18,034,150 ","4,879,107 ","05-02"
"1986","Blue City","6,947,787 ","2,748,096 ","05-02"
"1986","Short Circuit","40,697,761 ","5,346,808 ","05-09"
"1986","Top Gun","176,781,728 ","8,193,052 ","05-16"
"1986","Sweet Liberty","14,205,021 ","3,160,891 ","05-16"
"1986","Cobra","49,042,224 ","12,653,032 ","05-23"
"1986","Poltergeist II: The Other Side","40,996,665 ","12,357,190 ","05-23"
"1986","Raw Deal","16,209,459 ","5,438,978 ","06-06"
"1986","Space Camp","9,697,739 ","2,918,072 ","06-06"
"1986","My Little Pony","5,958,456 ","416,108 ","06-06"
"1986","Ferris Bueller's Day Off","70,136,369 ","6,275,647 ","06-11"
"1986","Back to School","91,258,000 ","8,881,035 ","06-13"
