"year","movies_name","total_gross","opening_week","opening_date"
"1982","Vice Squad","13,253,583 ","1,717,205 ","01-22"
"1982","The Seduction","11,378,339 ","1,503,543 ","01-22"
"1982","Shoot the Moon","9,217,530 ","1,870,000 ","01-22"
"1982","The Border","6,118,683 ","516,014 ","01-29"
"1982","Venom","5,229,643 ","1,672,747 ","01-29"
"1982","Night Crossing","8,000,000 ","1,547,912 ","02-05"
"1982","Personal Best","5,672,311 ","549,878 ","02-05"
"1982","Das Boot","10,915,250 ","26,994 ","02-10"
"1982","Quest for Fire","20,959,585 ","2,171,303 ","02-12"
"1982","Missing","14,000,000 ","2,300,000 ","02-12"
"1982","Making Love","11,897,978 ","3,015,497 ","02-12"
"1982","The Beast Within","7,742,572 ","1,250,000 ","02-12"
"1982","The Amateur","6,892,098 ","1,052,963 ","02-12"
"1982","Cannery Row","5,301,539 ","1,500,000 ","02-12"
"1982","Death Wish II","16,100,000 ","1,871,487 ","02-19"
"1982","Diner","14,099,953 ","218,221 ","03-05"
"1982","Evil Under the Sun","6,110,000 ","1,690,774 ","03-05"
"1982","Richard Pryor: Live on the Sunset Strip","36,299,720 ","7,780,693 ","03-12"
"1982","Porky's","105,492,483 ","7,623,988 ","03-19"
"1982","Victor/Victoria","28,215,453 ","139,634 ","03-19"
"1982","Deathtrap","19,282,134 ","2,238,977 ","03-19"
"1982","I Ought to Be in Pictures","6,968,359 ","2,170,397 ","03-26"
"1982","Some Kind of Hero","23,671,186 ","5,631,293 ","04-02"
"1982","Silent Rage","10,490,791 ","3,693,117 ","04-02"
"1982","Cat People","7,000,000 ","1,617,636 ","04-02"
"1982","The Sword and the Sorcerer","39,103,425 ","1,798,879 ","04-23"
"1982","If You Could See What I Hear","8,693,512 ","2,408,000 ","04-23"
"1982","Partners","6,062,898 ","2,318,801 ","04-30"
"1982","Paradise","5,588,800 ","2,815,503 ","05-07"
"1982","Conan the Barbarian","39,565,475 ","9,603,139 ","05-14"
"1982","Annie","57,059,003 ","510,632 ","05-21"
"1982","The Road Warrior","23,667,907 ","2,527,864 ","05-21"
"1982","Dead Men Don't Wear Plaid","18,196,170 ","4,289,601 ","05-21"
"1982","Rocky III","124,146,897 ","12,431,486 ","05-28"
"1982","Visiting Hours","13,258,670 ","5,250,157 ","05-28"
"1982","Star Trek II: The Wrath of Khan","78,912,963 ","14,347,221 ","06-04"
"1982","Poltergeist","76,606,280 ","6,896,612 ","06-04"
"1982","Bambi (Re-issue) (1982)","23,000,000 ","N/A","06-04"
"1982","Hanky Panky","9,823,934 ","3,597,244 ","06-04"
"1982","E.T.: The Extra-Terrestrial","359,197,037 ","11,835,389 ","06-11"
"1982","Grease 2","15,171,476 ","4,645,411 ","06-11"
"1982","Firefox","46,708,276 ","8,152,948 ","06-18"
"1982","Author! Author!","13,111,101 ","2,279,260 ","06-18"
"1982","Blade Runner","27,580,111 ","6,150,002 ","06-25"
"1982","The Thing (1982)","19,629,760 ","3,107,897 ","06-25"
"1982","Megaforce","5,675,599 ","2,350,021 ","06-25"
"1982","The Secret of NIMH","14,665,733 ","386,530 ","07-02"
"1982","Tron","33,000,000 ","4,761,795 ","07-09"
"1982","Young Doctors in Love","30,688,860 ","4,206,265 ","07-16"
"1982","Raiders of the Lost Ark (Re-issue) (1982)","21,437,879 ","4,347,101 ","07-16"
"1982","Six Pack","20,225,989 ","1,946,418 ","07-16"
"1982","A Midsummer Night's Sex Comedy","9,077,269 ","2,514,478 ","07-16"
"1982","Summer Lovers","4,968,000 ","N/A","07-16"
"1982","The Best Little Whorehouse in Texas","69,701,637 ","11,874,268 ","07-23"
"1982","The World According to Garp","29,712,172 ","2,902,088 ","07-23"
"1982","Zapped!","16,897,768 ","823,548 ","07-23"
"1982","An Officer and a Gentleman","129,795,554 ","3,304,679 ","07-30"
"1982","Night Shift","21,095,638 ","2,539,633 ","07-30"
"1982","Tex","7,400,000 ","N/A","07-30"
"1982","Forced Vengeance","6,660,333 ","1,109,011 ","07-30"
"1982","Things Are Tough All Over","21,134,374 ","5,906,708 ","08-06"
"1982","The Pirate Movie","7,983,086 ","2,528,133 ","08-06"
"1982","The Last American Virgin","5,829,781 ","527,198 ","08-06"
"1982","Friday the 13th Part III","34,581,519 ","9,406,522 ","08-13"
"1982","Fast Times at Ridgemont High","27,092,880 ","2,545,674 ","08-13"
"1982","Pink Floyd: The Wall","22,244,207 ","2,712,095 ","08-13"
"1982","Star Wars (Re-issue)","15,476,285 ","3,766,803 ","08-13"
"1982","The Soldier","6,328,816 ","2,025,614 ","08-13"
"1982","The Beastmaster","14,056,528 ","2,955,641 ","08-20"
"1982","Tempest","5,005,245 ","80,492 ","09-03"
"1982","Inchon","5,200,986 ","2,326,112 ","09-17"
"1982","Amityville II: The Possession","12,534,817 ","4,104,277 ","09-24"
"1982","My Favorite Year","20,123,620 ","2,400,696 ","10-08"
"1982","First Blood","47,212,904 ","6,642,005 ","10-22"
"1982","Halloween III: Season of the Witch","14,400,000 ","6,333,259 ","10-22"
"1982","Monsignor","12,408,066 ","3,631,834 ","10-22"
"1982","National Lampoon's Class Reunion","10,054,150 ","3,086,525 ","10-29"
"1982","The Man From Snowy River","20,659,423 ","694,126 ","11-05"
"1982","The Missionary","7,241,180 ","1,864,852 ","11-05"
"1982","Creepshow","21,028,755 ","5,870,889 ","11-12"
"1982","They Call Me Bruce","16,894,678 ","1,071,345 ","11-12"
"1982","The Empire Strikes Back (Re-issue)","13,276,241 ","3,949,478 ","11-19"
"1982","The Last Unicorn","6,455,330 ","2,250,000 ","11-19"
"1982","Still of the Night","5,979,947 ","N/A","11-19"
"1982","Heidi's Song","5,124,391 ","1,416,713 ","11-19"
"1982","48 HRS.","78,868,508 ","4,369,868 ","12-10"
"1982","The Verdict","53,977,250 ","100,982 ","12-10"
"1982","Gandhi","52,767,889 ","131,153 ","12-10"
"1982","The Toy","47,118,057 ","6,322,804 ","12-10"
"1982","Sophie's Choice","30,036,000 ","202,131 ","12-10"
"1982","Airplane II: The Sequel","27,150,534 ","5,329,208 ","12-10"
"1982","Savannah Smiles","10,413,170 ","N/A","12-10"
"1982","Tootsie","177,200,000 ","5,540,470 ","12-17"
"1982","The Dark Crystal","40,577,001 ","4,657,335 ","12-17"
"1982","Best Friends","36,821,203 ","4,022,891 ","12-17"
"1982","Peter Pan (Re-issue) (1982)","17,200,000 ","957,256 ","12-17"
"1982","Trail of the Pink Panther","9,056,073 ","1,341,695 ","12-17"
"1982","Six Weeks","6,668,025 ","978,541 ","12-17"
"1982","Honky Tonk Man","4,484,991 ","667,727 ","12-17"
"1982","Kiss Me Goodbye","15,782,759 ","1,345,672 ","12-24"
