"year","movies_name","total_gross","opening_week","opening_date"
"1980","How to Beat the High Cost of Living","7,500,000 ","N/A","01-01"
"1980","The Black Marble","2,500,000 ","N/A","01-01"
"1980","Guyana: Cult of the Damned","3,798,102 ","1,668,965 ","01-25"
"1980","American Gigolo","22,743,674 ","3,559,930 ","02-01"
"1980","The Fog","21,378,361 ","N/A","02-01"
"1980","Fatso","7,653,061 ","N/A","02-01"
"1980","Hero at Large","15,934,737 ","1,850,725 ","02-08"
"1980","Last Married Couple in America","12,835,544 ","2,454,289 ","02-08"
"1980","Midnight Madness","2,900,000 ","N/A","02-08"
"1980","Cruising","19,784,223 ","N/A","02-15"
"1980","Saturn 3","9,000,000 ","N/A","02-15"
"1980","Jaws 2 (1980 re-issue)","4,028,735 ","1,382,756 ","02-15"
"1980","Coal Miner's Daughter","67,182,787 ","3,366,443 ","03-07"
"1980","Lady and the Tramp (Re-issue) (1980)","26,114,207 ","N/A","03-07"
"1980","Little Darlings","34,326,249 ","N/A","03-21"
"1980","Mad Max","8,750,000 ","N/A","03-21"
"1980","Little Miss Marker","6,321,392 ","853,173 ","03-21"
"1980","Hide in Plain Sight","3,806,930 ","810,109 ","03-21"
"1980","Serial","9,870,727 ","N/A","03-28"
"1980","When Time Ran Out","3,763,988 ","1,400,994 ","03-28"
"1980","Ffolkes","2,993,772 ","805,511 ","04-18"
"1980","Where the Buffalo Roam","6,659,377 ","1,750,593 ","04-25"
"1980","Friday the 13th (1980)","39,754,601 ","5,816,321 ","05-09"
"1980","The Nude Bomb","14,662,035 ","3,565,066 ","05-09"
"1980","Fame (1980)","21,202,829 ","118,160 ","05-16"
"1980","The Long Riders","15,795,189 ","2,351,112 ","05-16"
"1980","The Hollywood Knights","10,000,000 ","N/A","05-16"
"1980","The Empire Strikes Back","209,398,025 ","4,910,483 ","05-21"
"1980","The Shining","44,017,374 ","622,337 ","05-23"
"1980","Mary Poppins (re-issue)","14,000,000 ","N/A","05-23"
"1980","The Gong Show Movie","6,621,520 ","1,476,425 ","05-23"
"1980","How to Become a Detective","7,500,000 ","N/A","06-01"
"1980","Urban Cowboy","46,918,287 ","N/A","06-06"
"1980","Bronco Billy","24,265,659 ","3,708,710 ","06-11"
"1980","The Island (1980)","15,716,828 ","3,123,267 ","06-13"
