"year","movies_name","total_gross","opening_week","opening_date"
"2007","Freedom Writers","36,605,602 ","9,405,582 ","01-05"
"2007","Stomp the Yard","61,356,221 ","21,833,312 ","01-12"
"2007","Epic Movie","39,739,367 ","18,612,544 ","01-26"
"2007","Smokin' Aces","35,787,686 ","14,638,755 ","01-26"
"2007","Because I Said So","42,674,040 ","13,122,865 ","02-02"
"2007","The Messengers","35,374,833 ","14,713,321 ","02-02"
"2007","Norbit","95,673,607 ","34,195,434 ","02-09"
"2007","Hannibal Rising","27,670,986 ","13,051,650 ","02-09"
"2007","Music and Lyrics","50,572,589 ","13,623,630 ","02-14"
"2007","Tyler Perry's Daddy's Little Girls","31,366,978 ","11,210,754 ","02-14"
"2007","Ghost Rider","115,802,596 ","45,388,836 ","02-16"
"2007","Bridge to Terabithia","82,272,442 ","22,564,612 ","02-16"
"2007","Breach","33,231,264 ","10,504,990 ","02-16"
"2007","The Number 23","35,193,167 ","14,602,867 ","02-23"
"2007","Wild Hogs","168,273,550 ","39,699,023 ","03-02"
"2007","Zodiac","33,080,084 ","13,395,610 ","03-02"
"2007","300","210,614,939 ","70,885,301 ","03-09"
"2007","Premonition","47,852,604 ","17,558,689 ","03-16"
"2007","TMNT","54,149,098 ","24,255,205 ","03-23"
"2007","Shooter","47,003,582 ","14,523,571 ","03-23"
"2007","Blades of Glory","118,594,548 ","33,014,202 ","03-30"
"2007","Meet the Robinsons","97,822,171 ","25,123,781 ","03-30"
"2007","Are We Done Yet?","49,662,533 ","14,262,724 ","04-04"
"2007","The Reaping","25,126,214 ","10,025,203 ","04-05"
"2007","Grindhouse","25,037,897 ","11,596,613 ","04-06"
"2007","Disturbia","80,209,692 ","22,224,982 ","04-13"
"2007","Perfect Stranger","23,984,949 ","11,206,163 ","04-13"
"2007","Fracture","39,015,018 ","11,014,657 ","04-20"
"2007","Spider-Man 3","336,530,303 ","151,116,516 ","05-04"
"2007","28 Weeks Later","28,638,916 ","9,807,292 ","05-11"
"2007","Shrek the Third","322,719,944 ","121,629,270 ","05-18"
"2007","Pirates of the Caribbean: At World's End","309,420,425 ","114,732,820 ","05-25"
"2007","Knocked Up","148,768,917 ","30,690,990 ","06-01"
"2007","Mr. Brooks","28,549,298 ","10,017,067 ","06-01"
"2007","Ocean's Thirteen","117,154,724 ","36,133,403 ","06-08"
"2007","Surf's Up","58,867,694 ","17,640,249 ","06-08"
"2007","Fantastic Four: Rise of the Silver Surfer","131,921,738 ","58,051,684 ","06-15"
"2007","Nancy Drew","25,612,520 ","6,832,318 ","06-15"
"2007","Evan Almighty","100,462,298 ","31,192,615 ","06-22"
"2007","1408","71,985,628 ","20,617,667 ","06-22"
"2007","Sicko","24,540,079 ","68,969 ","06-22"
"2007","Live Free or Die Hard","134,529,403 ","33,369,559 ","06-27"
"2007","Ratatouille","206,445,654 ","47,027,395 ","06-29"
"2007","Transformers","319,246,193 ","70,502,384 ","07-03"
"2007","License to Wed","43,799,818 ","10,422,258 ","07-03"
"2007","Harry Potter and the Order of the Phoenix","292,004,738 ","77,108,414 ","07-11"
"2007","I Now Pronounce You Chuck and Larry","120,059,556 ","34,233,750 ","07-20"
"2007","Hairspray (2007)","118,871,849 ","27,476,745 ","07-20"
"2007","The Simpsons Movie","183,135,014 ","74,036,787 ","07-27"
"2007","No Reservations","43,107,979 ","11,704,357 ","07-27"
"2007","The Bourne Ultimatum","227,471,070 ","69,283,690 ","08-03"
"2007","Underdog","43,760,605 ","11,585,121 ","08-03"
"2007","Rush Hour 3","140,125,968 ","49,100,158 ","08-10"
"2007","Stardust","38,634,938 ","9,169,779 ","08-10"
"2007","Superbad","121,463,226 ","33,052,411 ","08-17"
"2007","Mr. Bean's Holiday","33,302,167 ","9,889,780 ","08-24"
"2007","The Nanny Diaries","25,930,652 ","7,480,927 ","08-24"
"2007","Balls of Fury","32,886,940 ","11,352,123 ","08-29"
"2007","Halloween (2007)","58,272,029 ","26,362,367 ","08-31"
"2007","3:10 to Yuma (2007)","53,606,916 ","14,035,033 ","09-07"
"2007","The Brave One","36,793,804 ","13,471,488 ","09-14"
"2007","Mr. Woodcock","25,799,486 ","8,761,369 ","09-14"
"2007","Across the Universe","24,343,673 ","667,784 ","09-14"
"2007","Resident Evil: Extinction","50,648,679 ","23,678,580 ","09-21"
"2007","Good Luck Chuck","35,017,297 ","13,652,001 ","09-21"
"2007","The Game Plan","90,648,202 ","22,950,971 ","09-28"
"2007","The Kingdom","47,536,778 ","17,135,055 ","09-28"
"2007","Michael Clayton","49,033,882 ","719,910 ","10-05"
"2007","The Heartbreak Kid","36,787,257 ","14,022,105 ","10-05"
"2007","Sea Monsters: A Prehistoric Adventure (IMAX)","23,746,066 ","605,722 ","10-05"
"2007","Tyler Perry's Why Did I Get Married?","55,204,525 ","21,353,789 ","10-12"
"2007","We Own the Night","28,563,179 ","10,826,287 ","10-12"
"2007","30 Days of Night","39,568,996 ","15,951,902 ","10-19"
"2007","Saw IV","63,300,095 ","31,756,764 ","10-26"
"2007","Dan in Real Life","47,642,963 ","11,809,445 ","10-26"
"2007","American Gangster","130,164,645 ","43,565,135 ","11-02"
"2007","Bee Movie","126,631,277 ","38,021,044 ","11-02"
"2007","No Country for Old Men","74,283,625 ","1,226,333 ","11-09"
