"year","movies_name","total_gross","opening_week","opening_date"
"2015","The Woman in Black 2: Angel of Death","26,501,323 ","15,027,415 ","01-02"
"2015","Taken 3","89,256,424 ","39,201,657 ","01-09"
"2015","Paddington","76,271,832 ","18,966,676 ","01-16"
"2015","The Wedding Ringer","64,460,211 ","20,649,306 ","01-16"
"2015","The Boy Next Door","35,423,380 ","14,910,105 ","01-23"
"2015","Project Almanac","22,348,241 ","8,310,252 ","01-30"
"2015","Black or White","21,571,189 ","6,213,362 ","01-30"
"2015","The SpongeBob Movie: Sponge Out of Water","162,994,032 ","55,365,012 ","02-06"
"2015","Jupiter Ascending","47,387,723 ","18,372,372 ","02-06"
"2015","Fifty Shades of Grey","166,167,230 ","85,171,450 ","02-13"
"2015","Kingsman: The Secret Service","128,261,724 ","36,206,331 ","02-13"
"2015","McFarland, USA","44,482,410 ","11,020,798 ","02-20"
"2015","The DUFF","34,030,343 ","10,809,149 ","02-20"
"2015","Focus (2015)","53,862,963 ","18,685,137 ","02-27"
"2015","The Lazarus Effect","25,801,047 ","10,203,437 ","02-27"
"2015","The Second Best Exotic Marigold Hotel","33,078,266 ","8,540,370 ","03-06"
"2015","Chappie","31,569,268 ","13,346,782 ","03-06"
"2015","Cinderella (2015)","201,151,353 ","67,877,361 ","03-13"
"2015","Run All Night","26,461,644 ","11,012,305 ","03-13"
"2015","The Divergent Series: Insurgent","130,179,072 ","52,263,680 ","03-20"
"2015","Home (2015)","177,397,510 ","52,107,731 ","03-27"
"2015","Get Hard","90,411,453 ","33,803,253 ","03-27"
"2015","Woman in Gold","33,307,793 ","2,091,551 ","04-01"
"2015","Furious 7","353,007,020 ","147,187,040 ","04-03"
"2015","The Longest Ride","37,446,117 ","13,019,686 ","04-10"
"2015","Ex Machina","25,442,958 ","237,264 ","04-10"
"2015","Paul Blart: Mall Cop 2","71,038,190 ","23,762,435 ","04-17"
"2015","Unfriended","32,482,090 ","15,845,115 ","04-17"
"2015","The Age of Adaline","42,629,776 ","13,203,458 ","04-24"
"2015","Avengers: Age of Ultron","459,005,868 ","191,271,109 ","05-01"
"2015","Hot Pursuit","34,580,201 ","13,942,258 ","05-08"
"2015","Pitch Perfect 2","184,296,230 ","69,216,890 ","05-15"
"2015","Mad Max: Fury Road","153,636,354 ","45,428,128 ","05-15"
"2015","Tomorrowland","93,436,322 ","33,028,165 ","05-22"
"2015","Poltergeist (2015)","47,425,125 ","22,620,386 ","05-22"
"2015","San Andreas","155,190,832 ","54,588,173 ","05-29"
"2015","Aloha","21,067,116 ","9,670,235 ","05-29"
"2015","Entourage","32,363,404 ","10,283,250 ","06-03"
"2015","Spy","110,825,712 ","29,085,719 ","06-05"
"2015","Insidious Chapter 3","52,218,558 ","22,692,741 ","06-05"
"2015","Jurassic World","652,270,625 ","208,806,270 ","06-12"
"2015","Inside Out","356,461,711 ","90,440,272 ","06-19"
"2015","Ted 2","81,476,385 ","33,507,870 ","06-26"
"2015","Max (2015)","42,656,255 ","12,155,254 ","06-26"
"2015","Terminator: Genisys","89,760,956 ","27,018,486 ","07-01"
"2015","Magic Mike XXL","66,013,057 ","12,857,184 ","07-01"
"2015","Minions","336,045,770 ","115,718,405 ","07-10"
"2015","The Gallows","22,764,410 ","9,808,463 ","07-10"
"2015","Ant-Man","180,202,163 ","57,225,526 ","07-17"
"2015","Trainwreck","110,212,700 ","30,097,040 ","07-17"
"2015","Pixels","78,747,585 ","24,011,616 ","07-24"
"2015","Southpaw","52,421,953 ","16,701,294 ","07-24"
"2015","Paper Towns","32,000,304 ","12,650,140 ","07-24"
"2015","Vacation","58,884,188 ","14,681,108 ","07-29"
"2015","Mission: Impossible - Rogue Nation","195,042,377 ","55,520,089 ","07-31"
"2015","Fantastic Four","56,117,548 ","25,685,737 ","08-07"
"2015","The Gift (2015)","43,787,265 ","11,854,273 ","08-07"
"2015","Ricki and the Flash","26,822,144 ","6,610,961 ","08-07"
"2015","Straight Outta Compton","161,197,785 ","60,200,180 ","08-14"
"2015","The Man From U.N.C.L.E.","45,445,109 ","13,421,036 ","08-14"
"2015","Sinister 2","27,740,955 ","10,542,116 ","08-21"
"2015","Hitman: Agent 47","22,467,450 ","8,326,530 ","08-21"
"2015","No Escape","27,288,872 ","8,111,264 ","08-26"
"2015","War Room","67,790,117 ","11,351,389 ","08-28"
"2015","A Walk in the Woods","29,504,281 ","8,246,267 ","09-02"
"2015","The Visit","65,206,105 ","25,427,560 ","09-11"
"2015","The Perfect Guy","57,027,435 ","25,888,154 ","09-11"
"2015","Maze Runner: The Scorch Trials","81,697,192 ","30,316,510 ","09-18"
"2015","Black Mass","62,575,678 ","22,635,037 ","09-18"
"2015","Sicario","46,889,293 ","401,288 ","09-18"
"2015","Everest (2015)","43,482,270 ","7,222,035 ","09-18"
"2015","Hotel Transylvania 2","169,700,110 ","48,464,322 ","09-25"
"2015","The Intern","75,764,672 ","17,728,313 ","09-25"
"2015","The Martian","228,433,663 ","54,308,575 ","10-02"
